row_label_raw,row_label_full,No. Associate,No. Associate_1,Place of incorporation and operation,Proportion ownership interest,Proportion of voting power held,Main business,numeric__No. Associate_1,numeric__Place of incorporation and operation,numeric__Proportion ownership interest,numeric__Proportion of voting power held,numeric__Main business
1.,1.,1.,"S.A.S - CTAMAD Company Limited (""SAS"")",Hanoi,35.00%,35.00%,Hotel business and office rental,,,35.0,35.0,
2.,2.,2.,"HEM Electromechanical Manufacturing Co., Ltd. (""HEM EMM"")",Hanoi,20.00%,20.00%,"Manufacture of motors, generators, electric transformers, electrical distribution and control equipment",,,20.0,20.0,
