row_label_raw,row_label_full,No. Subsidiary,Place of incorporation and operation,Proportion ownership interest,Proportion of voting power held,Main business,numeric__Place of incorporation and operation,numeric__Proportion ownership interest,numeric__Proportion of voting power held,numeric__Main business
"1. CADIVI Dong Nai Co., Ltd. (""CADIVI Dong Nai"")","1. CADIVI Dong Nai Co., Ltd. (""CADIVI Dong Nai"")","1. CADIVI Dong Nai Co., Ltd. (""CADIVI Dong Nai"")",Dong Nai,100%,100%,Manufacturing and trading electrical wires and cables,,1.0,1.0,
"2. CADIVI Mien Bac Co., Ltd. (""CADIVI Mien Bac"")","2. CADIVI Mien Bac Co., Ltd. (""CADIVI Mien Bac"")","2. CADIVI Mien Bac Co., Ltd. (""CADIVI Mien Bac"")",Bac Ninh,100%,100%,Manufacturing and trading electrical wires and cables,,1.0,1.0,
