row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,4.707.309.678.727,(30.173.431.011),,4.649.937.895.744,(33.615.002.786),,4707309678727.0,-30173431011.0,,4649937895744.0,-33615002786.0,
Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,1.638.256.526.670,-,(i),1.613.825.662.937,-,3.781.900.806.200,1638256526670.0,,,1613825662937.0,,3781900806200.0
Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,985.139.460.770,-,(i),987.388.541.520,-,(i),985139460770.0,,,987388541520.0,,
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,332.061.707.611,-,(i),332.061.707.611,-,540.265.471.200,332061707611.0,,,332061707611.0,,540265471200.0
Công ty Cổ phần Thiết bị đo diện EMIC,Công ty Cổ phần Thiết bị đo diện EMIC,Công ty Cổ phần Thiết bị đo diện EMIC,112.485.000.000,-,(i),112.485.000.000,-,(i),112485000000.0,,,112485000000.0,,
Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,355.644.952.503,-,(i),355.644.952.503,-,(i),355644952503.0,,,355644952503.0,,
Công ty TNHH Phát điện GELEX,Công ty TNHH Phát điện GELEX,Công ty TNHH Phát điện GELEX,882.715.444.864,-,(i),882.715.444.864,-,(i),882715444864.0,,,882715444864.0,,
Công ty Cổ phần Sản xuất Máy biển ápTruyền tải MEE,Công ty Cổ phần Sản xuất Máy biển ápTruyền tải MEE,Công ty Cổ phần Sản xuất Máy biển ápTruyền tải MEE,345.671.586.309,(16.413.502.370),(i),345.671.586.309,(29.891.037.733),(i),345671586309.0,-16413502370.0,,345671586309.0,-29891037733.0,
Công ty Cổ phần Mua bán Điện GELEX,Công ty Cổ phần Mua bán Điện GELEX,Công ty Cổ phần Mua bán Điện GELEX,55.335.000.000,(13.759.928.641),(i),20.145.000.000,(3.723.965.053),(i),55335000000.0,-13759928641.0,,20145000000.0,-3723965053.0,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,1.111.361.869.099,-,-,1.238.396.869.099,(14.632.503.555),-,1111361869099.0,,,1238396869099.0,-14632503555.0,
Công ty Cổ phần Hạ tàng GELEX,Công ty Cổ phần Hạ tàng GELEX,Công ty Cổ phần Hạ tàng GELEX,1.111.361.869.099,-,(i),1.111.361.869.099,-,(i),1111361869099.0,,,1111361869099.0,,
Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty TNHH Năng lượng GELEX Quảng Trị,-,-,-,127.035.000.000,(14.632.503.555),(i),,,,127035000000.0,-14632503555.0,
,,,5.818.671.547.826,(30.173.431.011),-,5.888.334.764.843,(48.247.506.341),-,5818671547826.0,-30173431011.0,,5888334764843.0,-48247506341.0,
