row_label_raw,row_label_full,col_0,Year 2024,Year 2023,numeric__Year 2024,numeric__Year 2023
,,,VND,VND,,
Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,-,"768,518,519",,
Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,-,"768,518,519",,
"Purchasing goods, services - Office","Purchasing goods, services - Office","Purchasing goods, services - Office","630,000,000","630,000,000",,
Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,"630,000,000","630,000,000",,
Financial income - Dividends received,Financial income - Dividends received,Financial income - Dividends received,"86,767,928,109","318,822,993,407",,
Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,"23,647,068,000","153,293,517,407",,
CRV Real Estate Group Joint Stock Compar,CRV Real Estate Group Joint Stock Compar,CRV Real Estate Group Joint Stock Compar,"63,120,860,109","165,529,476,000",,
Financial expense - Interest expenses,Financial expense - Interest expenses,Financial expense - Interest expenses,-,"2,174,975,343",,
Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,-,"2,174,975,343",,
Capital contributed during the year,Capital contributed during the year,Capital contributed during the year,-,"10,000,000,000",,
Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,-,"10,000,000,000",,
