row_label_raw,row_label_full,col_0,Capital Contribution by Owners,Share premium,Investment and development fund,Retained earnings,Total,numeric__Capital Contribution by Owners,numeric__Share premium,numeric__Investment and development fund,numeric__Retained earnings,numeric__Total
,,,VND,VND,VND,VND,VND,,,,,
Beginning balance of the previous year,Beginning balance of the previous year,Beginning balance of the previous year,"3,214,481,530,000","1,976,351,645","19,572,915,034","429,858,378,580","3,665,889,175,259",,,,,
Dividends paid in shares,Dividends paid in shares,Dividends paid in shares,"257,125,600,000",-,-,"(257,125,600,000)",-,,,,,
Profit for the previous year,Profit for the previous year,Profit for the previous year,-,-,-,"309,213,152,576","309,213,152,576",,,,,
Ending balance of the previous year,Ending balance of the previous year,Ending balance of the previous year,"3,471,607,130,000","1,976,351,645","19,572,915,034","481,945,931,156","3,975,102,327,835",,,,,
Beginning balance of this year,Beginning balance of this year,Beginning balance of this year,"3,471,607,130,000","1,976,351,645","19,572,915,034","481,945,931,156","3,975,102,327,835",,,,,
Dividends paid in shares (*),Dividends paid in shares (*),Dividends paid in shares (*),"208,252,550,000",-,-,"(208,252,550,000)",-,,,,,
Profit for this year,Profit for this year,Profit for this year,-,-,-,"118,468,256,133","118,468,256,133",,,,,
Ending balance of this year,Ending balance of this year,Ending balance of this year,"3,679,859,680,000","1,976,351,645","19,572,915,034","392,161,637,289","4,093,570,583,968",,,,,
