row_label_raw,row_label_full,col_0,Page,numeric__Page
Report of the Board of Management,Report of the Board of Management,Report of the Board of Management,02 - 03,
Independent Auditor's Report,Independent Auditor's Report,Independent Auditor's Report,04 - 05,
Audited Separate Financial Statements,Audited Separate Financial Statements,Audited Separate Financial Statements,06 - 33,
Separate Statement of Financial Position,Separate Statement of Financial Position,Separate Statement of Financial Position,06 - 07,
Separate Statement of Income,Separate Statement of Financial Position > Separate Statement of Income,Separate Statement of Income,08,8.0
Separate Statement of Cash Flows,Separate Statement of Cash Flows,Separate Statement of Cash Flows,09 - 10,
Notes to the Separate Financial Statements,Notes to the Separate Financial Statements,Notes to the Separate Financial Statements,11 - 33,
