row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântài, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântài, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,3.438.193.213,598.305.455,466.216.798,4.502.715.466,,3438193213.0,598305455.0,466216798.0,4502715466.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,19.779.457.444,34.954.091,19.814.411.535,,,19779457444.0,34954091.0,19814411535.0
- Đầu tư xây dựng cơbản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơbản hoàn thành,- Đầu tư xây dựng cơbản hoàn thành,4.446.922.612,-,-,-,4.446.922.612,4446922612.0,,,,4446922612.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(206.018.000),-,(206.018.000),,,-206018000.0,,-206018000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.446.922.612,3.438.193.213,20.171.744.899,501.170.889,28.558.031.613,4446922612.0,3438193213.0,20171744899.0,501170889.0,28558031613.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,1.464.980.618,598.305.455,466.216.798,2.529.502.871,,1464980618.0,598305455.0,466216798.0,2529502871.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,304.038.023,266.051.136,1.569.758.084,10.962.305,2.150.809.548,304038023.0,266051136.0,1569758084.0,10962305.0,2150809548.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,304.038.023,1.731.031.754,2.168.063.539,477.179.103,4.680.312.419,304038023.0,1731031754.0,2168063539.0,477179103.0,4680312419.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,-,1.973.212.595,-,-,1.973.212.595,,1973212595.0,,,1973212595.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,4.142.884.589,1.707.161.459,18.003.681.360,23.991.786,23.877.719.194,4142884589.0,1707161459.0,18003681360.0,23991786.0,23877719194.0
