row_label_raw,row_label_full,col_0,Year 2024,Year 2023,numeric__Year 2024,numeric__Year 2023
,,,VND,VND,,
Corporate income tax from main business activities,Corporate income tax from main business activities,Corporate income tax from main business activities,Corporate income tax from main business activities,Corporate income tax from main business activities,,
Total accounting profit before corporate income tax,Total accounting profit before corporate income tax,Total accounting profit before corporate income tax,"127,189,331,525","309,213,152,576",,
Increasing,Increasing,Increasing,"3,183,973,542","1,846,190,099",,
- Ineligible expenses,- Ineligible expenses,- Ineligible expenses,"3,183,973,542","1,846,190,099",,
Decrease,Decrease,Decrease,"(86,767,928,109)","(318,822,993,407)",,
- Dividends /profits distributed,- Dividends /profits distributed,- Dividends /profits distributed,"(86,767,928,109)","(318,822,993,407)",,
Taxable income,Taxable income,Taxable income,"43,605,376,958","(7,763,650,732)",,
Current corporate income tax expense (tax rate of 20%),Current corporate income tax expense (tax rate of 20%),Current corporate income tax expense (tax rate of 20%),"8,721,075,392",-,,
Corporate income tax payable at the beginning of the year,Corporate income tax payable at the beginning of the year,Corporate income tax payable at the beginning of the year,"(840,461,352)","541,278,097",,
Corporate income tax paid in the year,Corporate income tax paid in the year,Corporate income tax paid in the year,"(1,777,449,096)","(1,381,739,449)",,
Total corporate income tax payable at the end of the year,Total corporate income tax payable at the end of the year,Total corporate income tax payable at the end of the year,"6,103,164,944","(840,461,352)",,
