row_label_raw,row_label_full,Related parties,Related parties_1,Relation,numeric__Related parties_1,numeric__Relation
Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Parent company,,
Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,Subsidiary,,
Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,Subsidiary,,
CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,Associated,,
"Members of the Board of Directors, the Board of Management, Supervisory Board and their related parties.","Members of the Board of Directors, the Board of Management, Supervisory Board and their related parties.","Members of the Board of Directors, the Board of Management, Supervisory Board and their related parties.","Members of the Board of Directors, the Board of Management, Supervisory Board and their related parties.",,,
