row_label_raw,row_label_full,Name of financial investments,Place of establishment and operation,Rate of interest,Rate of voting rights,Main business activities,numeric__Place of establishment and operation,numeric__Rate of interest,numeric__Rate of voting rights,numeric__Main business activities
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,,
- Hoang Giang Service Development Joint Stock Company,Subsidiaries > - Hoang Giang Service Development Joint Stock Company,- Hoang Giang Service Development Joint Stock Company,"Km9, National Highway 5, Nam Son Ward, An Duong District, Hai Phong City",99.794%,99.794%,Trading in cars and motor vehicles,,997.94,997.94,
- Pruksa Vietnam Company Limited,Subsidiaries > - Pruksa Vietnam Company Limited,- Pruksa Vietnam Company Limited,"Room A, 8th Floor, Building 116, Nguyen Duc Canh, Le Chan District, Hai Phong City",90.17%,90.17%,Construction of social housing,,90.17,90.17,
Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,,,,
- CRV Real Estate Group Joint Stock Company,Joint ventures and associates > - CRV Real Estate Group Joint Stock Company,- CRV Real Estate Group Joint Stock Company,"Floor 4, No. 183, Ba Trieu Street, Le Dai Hanh Ward, Hai Ba Trung District, Hanoi City",35.17%,35.17%,Construction and real estate business,,35.17,35.17,
