row_label_raw,row_label_full,col_0,Ending of the year,Ratio,Beginning of the year,Ratio_1,numeric__Ending of the year,numeric__Ratio,numeric__Beginning of the year,numeric__Ratio_1
,,,VND,%,VND,%,,,,
Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,"1,879,057,770,000",51.06,"1,772,696,010,000",51.06,,5106.0,,5106.0
Others,Others,Others,"1,800,801,910,000",48.94,"1,698,911,120,000",48.94,,4894.0,,4894.0
,,,"3,679,859,680,000",100,"3,471,607,130,000",100,,100.0,,100.0
