row_label_raw,row_label_full,col_0,Miền BắcVND,Miền NamVND,Miền TrungVND,Tổng cộng toàn doanh nghiệpVND,numeric__Miền BắcVND,numeric__Miền NamVND,numeric__Miền TrungVND,numeric__Tổng cộng toàn doanh nghiệpVND
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,312.554.953.754,157.389.508.622,51.466.086.319,521.410.548.695,312554953754.0,157389508622.0,51466086319.0,521410548695.0
Giá vốn,Giá vốn,Giá vốn,276.184.448.083,144.706.774.262,47.905.902.330,468.797.124.675,276184448083.0,144706774262.0,47905902330.0,468797124675.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,36.370.505.671,12.682.734.360,3.560.183.989,52.613.424.020,36370505671.0,12682734360.0,3560183989.0,52613424020.0
Tổng chi phí mua Tài sản cố định,Tổng chi phí mua Tài sản cố định,Tổng chi phí mua Tài sản cố định,,,,20.657.715.026,,,,20657715026.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,,,4.653.344.669.399,,,,4653344669399.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,,,,4.674.002.384.425,,,,4674002384425.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,,,,580.431.800.457,,,,580431800457.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,,,,580.431.800.457,,,,580431800457.0
