row_label_raw,row_label_full,Code,ITEMS,Note,Year 2024VND,Year 2023VND,numeric__ITEMS,numeric__Note,numeric__Year 2024VND,numeric__Year 2023VND
01,01,01,1. Revenue from sales and service rendered,19,"521,410,548,695","310,733,787,249",,19.0,,
02,02,02,2. Revenue deductions,,-,"9,259,259",,,,
10,10,10,3. Net revenue from sales and service rendered,,"521,410,548,695","310,724,527,990",,,,
11,10 > 11,11,4. Cost of goods sold,20,"468,797,124,675","298,494,735,518",,20.0,,
20,20,20,5. Gross profit on sales and service rendered,,"52,613,424,020","12,229,792,472",,,,
21,20 > 21,21,6. Financial income,21,"113,593,131,255","330,306,200,383",,21.0,,
22,20 > 22,22,7. Financial expense,22,"9,114,402,444","7,597,776,977",,22.0,,
23,23,23,In which: interest expenses,,-,"3,974,122,762",,,,
25,23 > 25,25,8. Selling expenses,23,"31,607,913,376","26,077,107,407",,23.0,,
26,23 > 26,26,9. Business management costs,24,"4,983,244,858","4,566,088,676",,24.0,,
30,30,30,10. Net profit from operating activities,,"120,500,994,597","304,295,019,795",,,,
31,30 > 31,31,11. Other income,25,"7,914,246,452","5,708,538,904",,25.0,,
32,30 > 32,32,12. Other expenses,26,"1,225,909,524","790,406,123",,26.0,,
40,40,40,13. Other profits,,"6,688,336,928","4,918,132,781",,,,
50,50,50,14. Total accounting profit before tax,,"127,189,331,525","309,213,152,576",,,,
51,50 > 51,51,15. Current corporate income tax expenses,27,"8,721,075,392",-,,27.0,,
52,52,52,16. Deferred corporate income tax expenses,,-,-,,,,
60,60,60,17. Profit after corporate income tax,,"118,468,256,133","309,213,152,576",,,,
