row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.214.481.530.000,1.976.351.645,19.572.915.034,429.858.378.580,3.665.889.175.259,3214481530000.0,1976351645.0,19572915034.0,429858378580.0,3665889175259.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,257.125.600.000,-,-,(257.125.600.000),-,257125600000.0,,,-257125600000.0,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,309.213.152.576,309.213.152.576,,,,309213152576.0,309213152576.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.471.607.130.000,1.976.351.645,19.572.915.034,481.945.931.156,3.975.102.327.835,3471607130000.0,1976351645.0,19572915034.0,481945931156.0,3975102327835.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.471.607.130.000,1.976.351.645,19.572.915.034,481.945.931.156,3.975.102.327.835,3471607130000.0,1976351645.0,19572915034.0,481945931156.0,3975102327835.0
Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),208.252.550.000,-,-,(208.252.550.000),-,208252550000.0,,,-208252550000.0,
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,118.468.256.133,118.468.256.133,,,,118468256133.0,118468256133.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.679.859.680.000,1.976.351.645,19.572.915.034,392.161.637.289,4.093.570.583.968,3679859680000.0,1976351645.0,19572915034.0,392161637289.0,4093570583968.0
