row_label_raw,row_label_full,col_0,The North,The Southern,The Central region,Total,numeric__The North,numeric__The Southern,numeric__The Central region,numeric__Total
,,,VND,VND,VND,VND,,,,
Net revenue from external sales,Net revenue from external sales,Net revenue from external sales,"312,554,953,754","157,389,508,622","51,466,086,319","521,410,548,695",,,,
Cost of goods sold,Cost of goods sold,Cost of goods sold,"276,184,448,083","144,706,774,262","47,905,902,330","468,797,124,675",,,,
Gross profit from sale of goods and rendering of service,Gross profit from sale of goods and rendering of service,Gross profit from sale of goods and rendering of service,"36,370,505,671","12,682,734,360","3,560,183,989","52,613,424,020",,,,
Total cost of purchasing fixed assets,Total cost of purchasing fixed assets,Total cost of purchasing fixed assets,,,,"20,657,715,026",,,,
Segment assets,Segment assets,Segment assets,,,,"4,653,344,669,399",,,,
Total assets,Total assets,Total assets,,,,"4,674,002,384,425",,,,
Liabilities of segments,Liabilities of segments,Liabilities of segments,,,,"580,431,800,457",,,,
Total liabilities,Total liabilities,Total liabilities,,,,"580,431,800,457",,,,
