row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,Giá trị giao dịch > 2021 VND,Giá trị giao dịch > 2020 VND,numeric__Tính chất giao dịch,numeric__Giá trị giao dịch > 2021 VND,numeric__Giá trị giao dịch > 2020 VND
Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Thanh lý khoản đầu tư,-,516.600.000.000,,,516600000000.0
Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Công ty Cổ phần The CrownX,Bán lại cổ phiếu CrownX,4.862.939.506.932,-,,4862939506932.0,
Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Khoản cho vay đã cấp,130.000.000.000,-,,130000000000.0,
Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Thu nhập lãi cho vay,27.780.822,-,,27780822.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Techcombank và các công ty con (*),Các bên liên quan khác > Techcombank và các công ty con (*),Techcombank và các công ty con (*),Trái phiếu phát hành (đại lý phát hành) (***),1.400.000.000.000,16.600.000.000.000,,1400000000000.0,16600000000000.0
Techcombank và các công ty con (*),Các bên liên quan khác > Techcombank và các công ty con (*),Techcombank và các công ty con (*),Phí phát hành trái phiếu,69.928.000.000,516.536.000.000,,69928000000.0,516536000000.0
Techcombank và các công ty con (*),Các bên liên quan khác > Techcombank và các công ty con (*),Techcombank và các công ty con (*),Bán chứng khoán kinh doanh,1.507.775.000.000,1.250.000.000.000,,1507775000000.0,1250000000000.0
Techcombank và các công ty con (*),Các bên liên quan khác > Techcombank và các công ty con (*),Techcombank và các công ty con (*),Mua chứng khoán kinh doanh,1.507.775.000.000,-,,1507775000000.0,
Thành viên quản lý chủ chốt,Các bên liên quan khác > Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thù lao cho thành viên quản lý chủ chốt (****),25.262.988.981,22.943.793.777,,25262988981.0,22943793777.0
