row_label_raw,row_label_full,col_0,Nâng cáptài sản thuêVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cáptài sản thuêVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,33.536.834.202,9.482.695.440,1.622.028.000,44.641.557.642,33536834202.0,9482695440.0,1622028000.0,44641557642.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.077.577.726,-,4.030.000.000,5.107.577.726,1077577726.0,,4030000000.0,5107577726.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,34.614.411.928,9.482.695.440,5.652.028.000,49.749.135.368,34614411928.0,9482695440.0,5652028000.0,49749135368.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,23.930.764.093,7.293.261.973,247.809.833,31.471.835.899,23930764093.0,7293261973.0,247809833.0,31471835899.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.076.884.978,772.630.281,942.004.666,4.791.519.925,3076884978.0,772630281.0,942004666.0,4791519925.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,27.007.649.071,8.065.892.254,1.189.814.499,36.263.355.824,27007649071.0,8065892254.0,1189814499.0,36263355824.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,9.606.070.109,2.189.433.467,1.374.218.167,13.169.721.743,9606070109.0,2189433467.0,1374218167.0,13169721743.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,7.606.762.857,1.416.803.186,4.462.213.501,13.485.779.544,7606762857.0,1416803186.0,4462213501.0,13485779544.0
