row_label_raw,row_label_full,Cổ phiếu phổ thông đã phát hành đầu năm > Cổ phiếu phổ thông đã phát hành trong năm,Nămkết thúc31/12/2015 > 2.665.020.334 > -,Nămkết thúc31/12/2014 > 2.317.417.076 > 347.603.258,numeric__Nămkết thúc31/12/2015 > 2.665.020.334 > -,numeric__Nămkết thúc31/12/2014 > 2.317.417.076 > 347.603.258
Số bình quân gia quyền của cổ phiếu phổ thông,Số bình quân gia quyền của cổ phiếu phổ thông,Số bình quân gia quyền của cổ phiếu phổ thông,2.665.020.334,2.465.981.756,2665020334.0,2465981756.0
(iii) Lãi cơ bản trên cổ phiếu,(iii) Lãi cơ bản trên cổ phiếu,(iii) Lãi cơ bản trên cổ phiếu,(iii) Lãi cơ bản trên cổ phiếu,(iii) Lãi cơ bản trên cổ phiếu,,
,,,Nămkết thúc31/12/2015,Nămkết thúc31/12/2014(trình bày lại)VND,,
,,,VND,Nămkết thúc31/12/2014(trình bày lại)VND,,
Lãi cơ bản trên cổ phiếu,(iii) Lãi cơ bản trên cổ phiếu > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,1.626,1.533,1626.0,1533.0
