row_label_raw,row_label_full,col_0,Năm kết thúc31/12/2014Triệu VND(Số theo báo cáo KTNN),Năm kết thúc31/12/2014Triệu VND(Số đã kiểm toán),Chênh lệchTriệu VND,numeric__Năm kết thúc31/12/2014Triệu VND(Số theo báo cáo KTNN),numeric__Năm kết thúc31/12/2014Triệu VND(Số đã kiểm toán),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27.967.835,27.988.051,(20.216),27967835.0,27988051.0,-20216.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,11.754.237,11.774.453,(20.216),11754237.0,11774453.0,-20216.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,3.166.943,3.166.304,639,3166943.0,3166304.0,639.0
Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,(1.395.518),(1.395.973),455,-1395518.0,-1395973.0,455.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,1.771.425,1.770.331,1.094,1771425.0,1770331.0,1094.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(154.985),(155.176),191,-154985.0,-155176.0,191.0
Lãi/(lỗ) thuần từ hoạt động khác,Lãi/(lỗ) thuần từ hoạt động khác,Lãi/(lỗ) thuần từ hoạt động khác,1.784.643,1.784.452,191,1784643.0,1784452.0,191.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(6.849.726),(6.861.927),12.201,-6849726.0,-6861927.0,12201.0
Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,10.435.512,10.442.242,(6.730),10435512.0,10442242.0,-6730.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.591.445),(4.565.750),(25.695),-4591445.0,-4565750.0,-25695.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,5.844.067,5.876.492,(32.425),5844067.0,5876492.0,-32425.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(1.257.692),(1.264.308),6.616,-1257692.0,-1264308.0,6616.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(1.258.357),(1.264.973),6.616,-1258357.0,-1264973.0,6616.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,4.585.710,4.611.519,(25.809),4585710.0,4611519.0,-25809.0
Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,4.566.514,4.592.323,(25.809),4566514.0,4592323.0,-25809.0
Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),1.533,1.543,(10),1533.0,1543.0,-10.0
