row_label_raw,row_label_full,col_0,Năm kết thúc31/12/2015Triệu VND,Năm kết thúc31/12/2014Triệu VND(Trình bày lại),numeric__Năm kết thúc31/12/2015Triệu VND,numeric__Năm kết thúc31/12/2014Triệu VND(Trình bày lại)
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,6.827.457,5.844.067,6827457.0,5844067.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,
Lợi nhuận tính thuế của các công ty con,Điều chỉnh cho các khoản: > Lợi nhuận tính thuế của các công ty con,Lợi nhuận tính thuế của các công ty con,(210.059),(258.004),-210059.0,-258004.0
Cổ tức thu được trong năm (xem Thuyết minh 29),Điều chỉnh cho các khoản: > Cổ tức thu được trong năm (xem Thuyết minh 29),Cổ tức thu được trong năm (xem Thuyết minh 29),(94.803),(164.103),-94803.0,-164103.0
"Phân chia lỗ theo phương pháp vốn chủ sở hữu của các khoản đầu tư vào các công ty liên doanh, liên kết (xem Thuyết minh 29)","Điều chỉnh cho các khoản: > Phân chia lỗ theo phương pháp vốn chủ sở hữu của các khoản đầu tư vào các công ty liên doanh, liên kết (xem Thuyết minh 29)","Phân chia lỗ theo phương pháp vốn chủ sở hữu của các khoản đầu tư vào các công ty liên doanh, liên kết (xem Thuyết minh 29)",47.468,12.732,47468.0,12732.0
Các khoản điều chỉnh hợp nhất không chịu thuế,Điều chỉnh cho các khoản: > Các khoản điều chỉnh hợp nhất không chịu thuế,Các khoản điều chỉnh hợp nhất không chịu thuế,-,8.472,,8472.0
Chi phí dự phòng đã trích lập trong năm 2013 nhưng chỉ đủ điều kiện khấu trừ khi tính thuế trong năm 2014 của Công ty TNHH Chứng khoán Vietcombank (“VCBS”),Điều chỉnh cho các khoản: > Chi phí dự phòng đã trích lập trong năm 2013 nhưng chỉ đủ điều kiện khấu trừ khi tính thuế trong năm 2014 của Công ty TNHH Chứng khoán Vietcombank (“VCBS”),Chi phí dự phòng đã trích lập trong năm 2013 nhưng chỉ đủ điều kiện khấu trừ khi tính thuế trong năm 2014 của Công ty TNHH Chứng khoán Vietcombank (“VCBS”),(127),(13.094),-127.0,-13094.0
Chi phí dự phòng chứng khoán chưa niêm yết không được khấu trừ khi tính thuế của VCBS,Điều chỉnh cho các khoản: > Chi phí dự phòng chứng khoán chưa niêm yết không được khấu trừ khi tính thuế của VCBS,Chi phí dự phòng chứng khoán chưa niêm yết không được khấu trừ khi tính thuế của VCBS,-,10.069,,10069.0
Chi phí khác không được khấu trừ khi tính thuế,Điều chỉnh cho các khoản: > Chi phí khác không được khấu trừ khi tính thuế,Chi phí khác không được khấu trừ khi tính thuế,1.984,1.998,1984.0,1998.0
Thu nhập chịu thuế,Điều chỉnh cho các khoản: > Thu nhập chịu thuế,Thu nhập chịu thuế,6.571.920,5.442.137,6571920.0,5442137.0
Thuế suất thuế thu nhập doanh nghiệp,Điều chỉnh cho các khoản: > Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,22%,22%,0.22,0.22
Chi phí thuế TNDN hiện hành ước tính của Ngân hàng (thuế suất: 22%),Điều chỉnh cho các khoản: > Chi phí thuế TNDN hiện hành ước tính của Ngân hàng (thuế suất: 22%),Chi phí thuế TNDN hiện hành ước tính của Ngân hàng (thuế suất: 22%),(1.445.822),(1.197.270),-1445822.0,-1197270.0
Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 22%),Điều chỉnh cho các khoản: > Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 22%),Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 22%),(47.813),(58.942),-47813.0,-58942.0
"Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 16,5%)","Điều chỉnh cho các khoản: > Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 16,5%)","Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 16,5%)",(1.465),(1.479),-1465.0,-1479.0
Chi phí thuế TNDN trong năm của toàn hệ thống,Điều chỉnh cho các khoản: > Chi phí thuế TNDN trong năm của toàn hệ thống,Chi phí thuế TNDN trong năm của toàn hệ thống,(1.495.100),(1.257.692),-1495100.0,-1257692.0
