row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ dự trữ,Quỹ dự trữ_1,Quỹ dự trữ_2,Quỹ dự trữ_3,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận để lại,Lợi ích cổ đông thiểu số,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ dự trữ,numeric__Quỹ dự trữ_1,numeric__Quỹ dự trữ_2,numeric__Quỹ dự trữ_3,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận để lại,numeric__Lợi ích cổ đông thiểu số,numeric__Tổng cộng
,,,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Tổng cộng,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận để lại,Lợi ích cổ đông thiểu số,Tổng cộng,,,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,,
Số dư tại ngày 1/1/2015(trình bày lại),Số dư tại ngày 1/1/2015(trình bày lại),Số dư tại ngày 1/1/2015(trình bày lại),26.650.203,5.725.318,45.160,1.351.365,2.729.965,70.661,4.151.991,83.405,67.236,6.601.598,147.852,43.472.763,26650203.0,5725318.0,45160.0,1351365.0,2729965.0,70661.0,4151991.0,83405.0,67236.0,6601598.0,147852.0,43472763.0
Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,-,-,-,-,-,-,-,-,-,5.313.928,18.139,5.332.067,,,,,,,,,,5313928.0,18139.0,5332067.0
Tạm trích quỹ nằm 2015,Tạm trích quỹ nằm 2015,Tạm trích quỹ nằm 2015,-,-,-,266.110(27),528.640(27),-,794.750(54),-,-,(1.759.347)(16.152),-(558),(964.597)(16.764),,,,,,,,,,,,
Trích quỹ nằm 2014,Trích quỹ nằm 2014,Trích quỹ nằm 2014,,,,,,,,,,,,,,,,,,,,,,,,
Trà cổ tức cho cổ đông,Trích quỹ nằm 2014 > Trà cổ tức cho cổ đông,Trà cổ tức cho cổ đông,-,-,-,-,-,-,-,-,-,(2.665.020),-,(2.665.020),,,,,,,,,,-2665020.0,,-2665020.0
Sử dụng trong kỳ,Trích quỹ nằm 2014 > Sử dụng trong kỳ,Sử dụng trong kỳ,-,-,-,-,(5.325),-,(5.325),-,-,-,-,(5.325),,,,,-5325.0,,-5325.0,,,,,-5325.0
Điều chỉnh của KTNN và Cơ quan Thuế,Trích quỹ nằm 2014 > Điều chỉnh của KTNN và Cơ quan Thuế,Điều chỉnh của KTNN và Cơ quan Thuế,-,-,-,-,-,-,-,-,-,630,-,630,,,,,,,,,,630.0,,630.0
Chênh lệch tỷ giá,Trích quỹ nằm 2014 > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,-,12.733,-,(110),12.623,,,,,,,,,12733.0,,-110.0,12623.0
Dánh giá lại tài sản,Trích quỹ nằm 2014 > Dánh giá lại tài sản,Dánh giá lại tài sản,-,-,-,-,-,-,-,5.817,-,-,-,5.817,,,,,,,,5817.0,,,,5817.0
Khác,Trích quỹ nằm 2014 > Khác,Khác,-,-,-,-,-,-,-,-,-,171,(23),148,,,,,,,,,,171.0,-23.0,148.0
Số dư tại ngày 31/12/2015,Trích quỹ nằm 2014 > Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,26.650.203,5.725.318,45.160,1.617.448,3.253.253,70.661,4.941.362,89.222,79.969,7.475.808,165.300,45.172.342,26650203.0,5725318.0,45160.0,1617448.0,3253253.0,70661.0,4941362.0,89222.0,79969.0,7475808.0,165300.0,45172342.0
