row_label_raw,row_label_full,col_0,Nămkết thúc31/12/2015Triệu VND,Nămkết thúc31/12/2014Triệu VND(trình bày lại),numeric__Nămkết thúc31/12/2015Triệu VND,numeric__Nămkết thúc31/12/2014Triệu VND(trình bày lại)
Thu nhập lãi cho vay khách hàng,Thu nhập lãi cho vay khách hàng,Thu nhập lãi cho vay khách hàng,24.306.183,22.117.907,24306183.0,22117907.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,1.199.274,790.179,1199274.0,790179.0
"Thu lãi từ kinh doanh, đầu tư chứng khoán nợ:","Thu lãi từ kinh doanh, đầu tư chứng khoán nợ:","Thu lãi từ kinh doanh, đầu tư chứng khoán nợ:",5.307.039,4.824.400,5307039.0,4824400.0
- Thu lãi từ chứng khoán đầu tư,- Thu lãi từ chứng khoán đầu tư,- Thu lãi từ chứng khoán đầu tư,5.072.617,4.824.400,5072617.0,4824400.0
- Thu lãi từ chứng khoán kinh doanh,- Thu lãi từ chứng khoán kinh doanh,- Thu lãi từ chứng khoán kinh doanh,234.422,-,234422.0,
Thu nhập lãi cho thuê tài chính,Thu nhập lãi cho thuê tài chính,Thu nhập lãi cho thuê tài chính,195.092,180.146,195092.0,180146.0
Thu phí từ nghiệp vụ bảo lãnh,Thu phí từ nghiệp vụ bảo lãnh,Thu phí từ nghiệp vụ bảo lãnh,283.154,254.554,283154.0,254554.0
Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,30.117,55.203,30117.0,55203.0
Thu lãi từ nghiệp vụ mua bán nợ,Thu lãi từ nghiệp vụ mua bán nợ,Thu lãi từ nghiệp vụ mua bán nợ,39.870,-,39870.0,
,,,31.360.729,28.222.389,31360729.0,28222389.0
