row_label_raw,row_label_full,col_0,col_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__col_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,69.663.061(54.358.037),222.127(84.100),31.363(46.820),25.438-,(38.581.260)38.581.260,31.360.729(15.907.697),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,69.663.061(54.358.037),222.127(84.100),31.363(46.820),25.438-,(38.581.260)38.581.260,31.360.729(15.907.697),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,15.305.024,138.027,(15.457),25.438,-,15.453.032,,15305024.0,138027.0,-15457.0,25438.0,,15453032.0
3,3,3,Thu nhập từ hoạt động dịch vụ,3.277.774(1.632.364),5.859(382),251.485(76.343),127.496(32.091),(105.310)56.524,3.557.304(1.684.656),,,,,,,
4,4,4,Chi phí từ hoạt động dịch vụ,3.277.774(1.632.364),5.859(382),251.485(76.343),127.496(32.091),(105.310)56.524,3.557.304(1.684.656),,,,,,,
II,4 > II,II,Lãi thuần từ hoạt động dịch vụ,1.645.410,5.477,175.142,95.405,(48.786),1.872.648,,1645410.0,5477.0,175142.0,95405.0,-48786.0,1872648.0
III,4 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,1.571.400,1.173,-,1,-,1.572.574,,1571400.0,1173.0,,1.0,,1572574.0
IV,4 > IV,IV,Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,175.287,-,3.075,-,-,178.362,,175287.0,,3075.0,,,178362.0
V,4 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,179.268,-,(7.801),-,-,171.467,,179268.0,,-7801.0,,,171467.0
5,5,5,Thu nhập từ hoạt động khác,2.135.798(230.391),4.218(4.537),87(343),447-,-,2.140.550(235.271),,,,,,,
6,6,6,Chi phí hoạt động khác,2.135.798(230.391),4.218(4.537),87(343),447-,-,2.140.550(235.271),,,,,,,
VI,6 > VI,VI,Lãi/(Lỗ) thuần từ hoạt động khác,1.905.407,(319),(256),447,-,1.905.279,,1905407.0,-319.0,-256.0,447.0,,1905279.0
VII,6 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",32.065,-,16.370,-,-,48.435,,32065.0,,16370.0,,,48435.0
VIII,6 > VIII,VIII,Tổng chi phí hoạt động,(8.161.246),(64.432),(83.568),(45.789),48.786,(8.306.249),,-8161246.0,-64432.0,-83568.0,-45789.0,48786.0,-8306249.0
IX,6 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,12.652.615,79.926,87.505,75.502,-,12.895.548,,12652615.0,79926.0,87505.0,75502.0,,12895548.0
X,6 > X,X,Chi phí dự phòng rủi ro tín dụng,(6.049.730),(18.361),-,-,-,(6.068.091),,-6049730.0,-18361.0,,,,-6068091.0
XI,6 > XI,XI,Tổng lợi nhuận trước thuế,6.602.885,61.565,87.505,75.502,-,6.827.457,,6602885.0,61565.0,87505.0,75502.0,,6827457.0
7,6 > 7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,(1.445.823),(13.348),(15.622),(20.307),-,(1.495.100),,-1445823.0,-13348.0,-15622.0,-20307.0,,-1495100.0
8,6 > 8,8,Chi phí thuế thu nhập doanh nghiệp hoàn lại,-,-,(290),-,-,(290),,,,-290.0,,,-290.0
XII,6 > XII,XII,Chi phí thuế thu nhập doanh nghiệp,(1.445.823),(13.348),(15.912),(20.307),-,(1.495.390),,-1445823.0,-13348.0,-15912.0,-20307.0,,-1495390.0
XIII,6 > XIII,XIII,Lợi nhuận sau thuế,5.157.062,48.217,71.593,55.195,-,5.332.067,,5157062.0,48217.0,71593.0,55195.0,,5332067.0
