row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp,Triệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp,numeric__Triệu VND
Ngân hàng TMCP Xuất - Nhập khẩu VN,Ngân hàng TMCP Xuất - Nhập khẩu VN,Ngân hàng TMCP Xuất - Nhập khẩu VN,Ngân hàng,"8,19%",582.065,,0.0819,582065.0
Ngân hàng TMCP Sài Gòn Công Thương,Ngân hàng TMCP Sài Gòn Công Thương,Ngân hàng TMCP Sài Gòn Công Thương,Ngân hàng,"4,30%",123.453,,0.043,123453.0
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"9,59%",1.242.989,,0.0959,1242989.0
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng,"5,07%",144.802,,0.0507,144802.0
Quỹ báo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Quỹ báo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Quỹ báo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Bảo lãnh tín dụng,"0,80%",1.864,,0.008,1864.0
"SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","Dịch vụ thể, thanh toán",-,1.572,,,1572.0
Công ty Cổ phần Bảo hiểm Petrolimex,Công ty Cổ phần Bảo hiểm Petrolimex,Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,"10,04%",67.900,,0.10039999999999999,67900.0
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Đầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Đầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Đầu khí,Dầu khí,"0,21%",5.496,,0.0021,5496.0
Công ty Cổ phần Bảo hiểm Nhà Rồng,Công ty Cổ phần Bảo hiểm Nhà Rồng,Công ty Cổ phần Bảo hiểm Nhà Rồng,Bảo hiểm,"3,11%",12.540,,0.0311,12540.0
Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Dịch vụ thông tin tín dụng,"6,64%",7.962,,0.0664,7962.0
Công ty Tài chính Cổ phần Xi măng,Công ty Tài chính Cổ phần Xi măng,Công ty Tài chính Cổ phần Xi măng,Dịch vụ tài chính,"10,91%",70.950,,0.1091,70950.0
Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Đầu tư đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thương mại Địa Ốc Việt,Công ty Cổ phần Thương mại Địa Ốc Việt,Công ty Cổ phần Thương mại Địa Ốc Việt,Bất động sản,"3,67%",11.000,,0.036699999999999997,11000.0
Công ty Cổ phần Dịch vụ thể Smartlink,Công ty Cổ phần Dịch vụ thể Smartlink,Công ty Cổ phần Dịch vụ thể Smartlink,Dịch vụ thể,"8,80%",4.400,,0.08800000000000001,4400.0
Tổng công ty Hàng không Việt Nam,Tổng công ty Hàng không Việt Nam,Tổng công ty Hàng không Việt Nam,Hàng không,"1,59%",499.602,,0.0159,499602.0
Tổng Công ty Xây dựng Công trình Giao thông 8 (*),Tổng Công ty Xây dựng Công trình Giao thông 8 (*),Tổng Công ty Xây dựng Công trình Giao thông 8 (*),Xây dựng,"2,50%",17.500,,0.025,17500.0
,,,,,2.869.095,,,2869095.0
Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,(25.841),,,-25841.0
,,,,,2.843.254,,,2843254.0
