row_label_raw,row_label_full,col_0,col_1,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Ngoại tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Ngoại tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
,,,Tài sản,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",7.092.670,1.021.542,177.744,227.378,8.519.334,,7092670.0,1021542.0,177744.0,227378.0,8519334.0
II,II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,3.258.590,16.456.445,-,-,19.715.035,,3258590.0,16456445.0,,,19715035.0
III,III,III,"Tiền, vàng gửi và cho vay các tổ chức tín dụng khác – gộp",72.016.863,43.422.678,10.657.616,5.430.216,131.527.373,,72016863.0,43422678.0,10657616.0,5430216.0,131527373.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,9.468.255,-,-,-,9.468.255,,9468255.0,,,,9468255.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,4.451.303,(8.047.692),(1.282),3.598.299,628,,4451303.0,-8047692.0,-1282.0,3598299.0,628.0
VI,VI,VI,Cho vay khách hàng – gộp,314.587.626,71.826.834,344.502,392.742,387.151.704,,314587626.0,71826834.0,344502.0,392742.0,387151704.0
VIII,VIII,VIII,Chứng khoán đầu tư – gộp,64.936.796,43.822.657,-,-,108.759.453,,64936796.0,43822657.0,,,108759453.0
IX,IX,IX,Góp vốn đầu tư dài hạn – gộp,3.592.539,-,-,-,3.592.539,,3592539.0,,,,3592539.0
X,X,X,Tài sản cố định,5.037.709,891,-,873,5.039.473,,5037709.0,891.0,,873.0,5039473.0
XII,XII,XII,Tài sản Có khác – gộp,12.527.085,1.114.437,4.762,(3.674.604),9.971.680,,12527085.0,1114437.0,4762.0,-3674604.0,9971680.0
,,,Tổng tài sản,496.969.436,169.617.792,11.183.342,5.974.904,683.745.474,,496969436.0,169617792.0,11183342.0,5974904.0,683745474.0
,,,Nợ phải trả,,,,,,,,,,,
"I, II","I, II","I, II",Tiền gửi của và vay từ NHNN và các tổ chức tín dụng khác,38.374.840,65.708.565,7.602.511,1.929.018,113.614.934,,38374840.0,65708565.0,7602511.0,1929018.0,113614934.0
III,III,III,Tiền gửi của khách hàng,386.840.367,104.484.134,3.848.468,5.355.298,500.528.267,,386840367.0,104484134.0,3848468.0,5355298.0,500528267.0
VI,VI,VI,Phát hành giấy tờ có giá,2.473.289,5.781,-,-,2.479.070,,2473289.0,5781.0,,,2479070.0
VII,VII,VII,Các khoản nợ khác,17.865.275,(5.367.888),36.640,66.000,12.600.027,,17865275.0,-5367888.0,36640.0,66000.0,12600027.0
,,,Tổng nợ phải trả,445.553.771,164.830.592,11.487.619,7.350.316,629.222.298,,445553771.0,164830592.0,11487619.0,7350316.0,629222298.0
,,,Trạng thái tiền tệ nội bảng,51.415.665,4.787.200,(304.277),(1.375.412),54.523.176,,51415665.0,4787200.0,-304277.0,-1375412.0,54523176.0
