row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc 31/12/2015Triệu VND,Năm kết thúc 31/12/2014Triệu VND(Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc 31/12/2015Triệu VND,numeric__Năm kết thúc 31/12/2014Triệu VND(Trình bày lại)
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
1,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 1,1,Mua sắm tài sản cố định,,(1.194.037),(987.172),,,-1194037.0,-987172.0
2,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 2,2,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,5.254,5.900,,,5254.0,5900.0
3,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 3,3,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",,(2.059),(2.511),,,-2059.0,-2511.0
7,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 7,7,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(108.464),(517.102),,,-108464.0,-517102.0
8,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 8,8,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,12.100,9.565,,,12100.0,9565.0
9,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 9,9,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,86.693,160.541,,,86693.0,160541.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 10,10,Tiền thu cổ tức đã có quyết định trả cổ tức năm trước,,3.562,-,,,3562.0,
II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > II,II,Lưu chuyển tiền từ hoạt động đầu tư,,(1.196.951),(1.330.779),,,-1196951.0,-1330779.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1,1,Chỉ phí phát hành cổ phiếu thường năm 2014,,-,(47),,,,-47.0
2,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2,2,Cổ tức năm trước đã trả bằng tiền mặt,,(2.665.020),(2.801.395),,,-2665020.0,-2801395.0
III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III,III,Lưu chuyển tiền thuần từ hoạt động tài chính,,(2.665.020),(2.801.442),,,-2665020.0,-2801442.0
IV,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV,IV,Lưu chuyển tiền thuần trong năm,,(10.600.143),37.873.034,,,-10600143.0,37873034.0
V,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,33,175.012.996,137.139.962,,33.0,175012996.0,137139962.0
VI,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI,VI,Tiền và các khoản tương đương tiền tại thời điểm cuối năm,33,164.412.853,175.012.996,,33.0,164412853.0,175012996.0
