row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015 Triệu VND,31/12/2014 Triệu VND (Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015 Triệu VND,numeric__31/12/2014 Triệu VND (Trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,8.519.334,8.323.385,,4.0,8519334.0,8323385.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,19.715.035,13.267.101,,5.0,19715035.0,13267101.0
III,A > III,III,Tiền gửi tại và cho vay các tổ chức tín dụng khác,6,131.527.373,146.076.521,,6.0,131527373.0,146076521.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,92.587.537,88.909.474,,,92587537.0,88909474.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,38.939.836,57.189.924,,,38939836.0,57189924.0
3,A > 3,3,Dự phòng rủi ro,,-,(22.877),,,,-22877.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,9.467.305,10.122.143,,7.0,9467305.0,10122143.0
1,A > 1,1,Chứng khoán kinh doanh,,9.468.255,10.126.592,,,9468255.0,10126592.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(950),(4.449),,,-950.0,-4449.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,18,628,-,,18.0,628.0,
VI,A > VI,VI,Cho vay khách hàng,,378.541.826,316.253.747,,,378541826.0,316253747.0
1,A > 1,1,Cho vay khách hàng,8,387.151.704,323.338.118,,8.0,387151704.0,323338118.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(8.609.878),(7.084.371),,9.0,-8609878.0,-7084371.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,108.055.236,67.124.323,,,108055236.0,67124323.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10(a),42.941.175,49.197.775,,,42941175.0,49197775.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10(b),65.818.278,18.200.985,,,65818278.0,18200985.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(704.217),(274.437),,,-704217.0,-274437.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,3.556.750,3.546.171,,,3556750.0,3546171.0
1,A > 1,1,Vốn góp liên doanh,11(a),753.772,693.144,,,753772.0,693144.0
2,A > 2,2,Đầu tư vào công ty liên kết,11(b),9.349,9.773,,,9349.0,9773.0
3,A > 3,3,Đầu tư dài hạn khác,11(c),2.829.418,2.869.095,,,2829418.0,2869095.0
4,A > 4,4,Dự phòng giảm giá đầu tư dài hạn,11(c),(35.789),(25.841),,,-35789.0,-25841.0
X,A > X,X,Tài sản cố định,,5.039.473,4.464.529,,,5039473.0,4464529.0
1,A > 1,1,Tài sản cố định hữu hình,12,3.385.622,2.829.004,,12.0,3385622.0,2829004.0
a,A > a,a,Nguyên giá tài sản cố định,,7.661.735,6.554.667,,,7661735.0,6554667.0
b,A > b,b,Hao mòn tài sản cố định,,(4.276.113),(3.725.663),,,-4276113.0,-3725663.0
2,A > 2,2,Tài sản cố định vô hình,13,1.653.851,1.635.525,,13.0,1653851.0,1635525.0
a,A > a,a,Nguyên giá tài sản cố định,,2.211.799,2.138.297,,,2211799.0,2138297.0
b,A > b,b,Hao mòn tài sản cố định,,(557.948),(502.772),,,-557948.0,-502772.0
XII,A > XII,XII,Tài sản Có khác,,9.971.680,7.817.731,,,9971680.0,7817731.0
1,A > 1,1,Các khoản phải thu,14(a),3.532.456,2.588.216,,,3532456.0,2588216.0
2,A > 2,2,"Các khoản lãi, phí phải thu",14(b),4.842.275,3.659.679,,,4842275.0,3659679.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,1.943,2.234,,,1943.0,2234.0
4,A > 4,4,Tài sản Có khác,14(c),1.596.073,1.567.602,,,1596073.0,1567602.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(1.067),-,,,-1067.0,
,,,TỔNG TÀI SẢN CÓ,,674.394.640,576.995.651,,,674394640.0,576995651.0
