row_label_raw,row_label_full,col_0,31/12/2014Triệu VND(Số theo báo cáo KTNN),31/12/2014Triệu VND(Số đã kiểm toán),Chênh lệchTriệu VND,numeric__31/12/2014Triệu VND(Số theo báo cáo KTNN),numeric__31/12/2014Triệu VND(Số đã kiểm toán),numeric__Chênh lệchTriệu VND
Tiền gửi tại và cho vay các tổ chức tín dụng khác,Tiền gửi tại và cho vay các tổ chức tín dụng khác,Tiền gửi tại và cho vay các tổ chức tín dụng khác,146.076.521,146.066.919,9.602,146076521.0,146066919.0,9602.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,88.909.474,88.909.474,-,88909474.0,88909474.0,
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,57.189.924,57.189.924,-,57189924.0,57189924.0,
Dự phòng rủi ro cho vay các tổ chức tín dụng khác,Dự phòng rủi ro cho vay các tổ chức tín dụng khác,Dự phòng rủi ro cho vay các tổ chức tín dụng khác,(22.877),(32.479),9.602,-22877.0,-32479.0,9602.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,316.253.747,316.289.043,(35.296),316253747.0,316289043.0,-35296.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,323.338.118,323.332.037,6.081,323338118.0,323332037.0,6081.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(7.084.371),(7.042.994),(41.377),-7084371.0,-7042994.0,-41377.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,67.124.323,67.103.565,20.758,67124323.0,67103565.0,20758.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,49.197.775,49.197.775,-,49197775.0,49197775.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,18.200.985,18.180.227,20.758,18200985.0,18180227.0,20758.0
Dự phòng giảm giá chứng khoán đầu tư,Dự phòng giảm giá chứng khoán đầu tư,Dự phòng giảm giá chứng khoán đầu tư,(274.437),(274.437),-,-274437.0,-274437.0,
Tài sản cố định,Tài sản cố định,Tài sản cố định,4.464.529,4.445.613,18.916,4464529.0,4445613.0,18916.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,2.829.004,2.811.969,17.035,2829004.0,2811969.0,17035.0
Nguyên giá,Nguyên giá,Nguyên giá,6.554.667,6.537.338,17.329,6554667.0,6537338.0,17329.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(3.725.663),(3.725.369),(294),-3725663.0,-3725369.0,-294.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,1.635.525,1.633.644,1.881,1635525.0,1633644.0,1881.0
Nguyên giá,Nguyên giá,Nguyên giá,2.138.297,2.136.008,2.289,2138297.0,2136008.0,2289.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(502.772),(502.364),(408),-502772.0,-502364.0,-408.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,7.817.731,7.824.897,(7.166),7817731.0,7824897.0,-7166.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,2.588.216,2.588.961,(745),2588216.0,2588961.0,-745.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",3.659.679,3.647.147,12.532,3659679.0,3647147.0,12532.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,2.234,2.234,-,2234.0,2234.0,
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,1.567.602,1.586.555,(18.953),1567602.0,1586555.0,-18953.0
Tổng ảnh hưởng,Tổng ảnh hưởng,Tổng ảnh hưởng,,,6.814,,,6814.0
