row_label_raw,row_label_full,31/12/2014,31/12/2014_1,Nguyên,numeric__31/12/2014_1,numeric__Nguyên
Triệu VND,Triệu VND,Triệu VND,Triệu VND,nhân,,
(Trình bày lại theo,(Trình bày lại theo,(Trình bày lại theo,(Số theo báo,,,
Thông tư 49),Thông tư 49),Thông tư 49),cáo KTNN),,,
