row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015Triệu VND,31/12/2014Triệu VND(Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015Triệu VND,numeric__31/12/2014Triệu VND(Trình bày lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,15,41.479.553,54.093.072,,15.0,41479553.0,54093072.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,72.135.381,43.237.798,,16.0,72135381.0,43237798.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,51.743.682,33.697.181,,,51743682.0,33697181.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,20.391.699,9.540.617,,,20391699.0,9540617.0
III,B > III,III,Tiền gửi của khách hàng,17,500.528.267,422.203.780,,17.0,500528267.0,422203780.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,18,-,75.278,,18.0,,75278.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,2.479.070,2.208.641,,19.0,2479070.0,2208641.0
VII,B > VII,VII,Các khoản nợ khác,,12.600.027,11.704.319,,,12600027.0,11704319.0
1,B > 1,1,"Các khoản lãi, phí phải trả",20(a),4.988.305,4.797.481,,,4988305.0,4797481.0
2,B > 2,2,Thuế thu nhập doanh nghiệp hoãn lại phải trả,,19.444,17.723,,,19444.0,17723.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20(b),7.592.278,6.889.115,,,7592278.0,6889115.0
,,,TỔNG NỘ PHẢI TRẢ,,629.222.298,533.522.888,,,629222298.0,533522888.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,32.420.681,32.420.681,,,32420681.0,32420681.0
a,VIII > a,a,Vốn điều lệ,,26.650.203,26.650.203,,,26650203.0,26650203.0
b,VIII > b,b,Thăng dư vốn cổ phần,,5.725.318,5.725.318,,,5725318.0,5725318.0
c,VIII > c,c,Vốn khác,,45.160,45.160,,,45160.0,45160.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,4.941.362,4.151.991,,,4941362.0,4151991.0
3,VIII > 3,3,Chênh lệch tỷ giá hối đoái,,79.969,67.236,,,79969.0,67236.0
4,VIII > 4,4,Chênh lệch đánh giá lại tài sản,,89.222,83.405,,,89222.0,83405.0
5,VIII > 5,5,Lợi nhuận chưa phân phối,,7.475.808,6.601.598,,,7475808.0,6601598.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,3.921.494,3.509.025,,,3921494.0,3509025.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,3.554.314,3.092.573,,,3554314.0,3092573.0
6,VIII > 6,6,Lợi ích của cổ đông thiểu số,,165.300,147.852,,,165300.0,147852.0
,,,TỔNG VỐN CHỦ SỞ HỮU,21(a),45.172.342,43.472.763,,,45172342.0,43472763.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,674.394.640,576.995.651,,,674394640.0,576995651.0
