row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp,Giá gốc Triệu VND,Giá trị ghi sở Triệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp,numeric__Giá gốc Triệu VND,numeric__Giá trị ghi sở Triệu VND
Công ty Liên doanh TNHHVietcombank - Bonday - Bến Thành,Công ty Liên doanh TNHHVietcombank - Bonday - Bến Thành,Công ty Liên doanh TNHHVietcombank - Bonday - Bến Thành,Cho thuê văn phòng,52%,410.365,342.641,,0.52,410365.0,342641.0
Công ty Liên doanh Quản lý Quỹđầu tư chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹđầu tư chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹđầu tư chứng khoán Vietcombank,Quản lý quỹ đầu tư,51%,135.150,131.484,,0.51,135150.0,131484.0
Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Bảo hiểm nhân thọ,45%,270.000,279.647,,0.45,270000.0,279647.0
,,,,,815.515,753.772,,,815515.0,753772.0
