row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền dẫnTriệu VND",Tài sảnhữu hình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền dẫnTriệu VND",numeric__Tài sảnhữu hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu kỳ (trình bày lại),Nguyên giá > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),2.369.478,3.054.365,567.857,562.967,6.554.667,2369478.0,3054365.0,567857.0,562967.0,6554667.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,655.473,202.352,118.808,176.811,1.153.444,655473.0,202352.0,118808.0,176811.0,1153444.0
- Mua trong kỳ,Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,640.323,200.941,118.808,166.708,1.126.780,640323.0,200941.0,118808.0,166708.0,1126780.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,15.150,1.411,-,10.103,26.664,15150.0,1411.0,,10103.0,26664.0
Giảm trong kỳ,Nguyên giá > Giảm trong kỳ,Giảm trong kỳ,(6.289),(26.010),(5.593),(8.484),(46.376),-6289.0,-26010.0,-5593.0,-8484.0,-46376.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.945),(25.954),(5.593),(7.817),(42.309),-2945.0,-25954.0,-5593.0,-7817.0,-42309.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(3.344),(56),-,(667),(4.067),-3344.0,-56.0,,-667.0,-4067.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,3.018.662,3.230.707,681.072,731.294,7.661.735,3018662.0,3230707.0,681072.0,731294.0,7661735.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu kỳ (trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),508.492,2.539.291,365.119,312.761,3.725.663,508492.0,2539291.0,365119.0,312761.0,3725663.0
Tăng trong kỳ,Giá trị hao mòn lũy kế > Tăng trong kỳ,Tăng trong kỳ,112.660,293.219,61.828,123.672,591.379,112660.0,293219.0,61828.0,123672.0,591379.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,111.401,293.159,61.828,123.576,589.964,111401.0,293159.0,61828.0,123576.0,589964.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,1.259,60,-,96,1.415,1259.0,60.0,,96.0,1415.0
Giảm trong kỳ,Giá trị hao mòn lũy kế > Giảm trong kỳ,Giảm trong kỳ,(1.306),(25.981),(5.594),(8.048),(40.929),-1306.0,-25981.0,-5594.0,-8048.0,-40929.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.306),(25.946),(5.594),(7.791),(40.637),-1306.0,-25946.0,-5594.0,-7791.0,-40637.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(35),-,(257),(292),,-35.0,,-257.0,-292.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,619.846,2.806.529,421.353,428.385,4.276.113,619846.0,2806529.0,421353.0,428385.0,4276113.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu kỳ (trình bày lại),Giá trị còn lại > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),1.860.986,515.074,202.738,250.206,2.829.004,1860986.0,515074.0,202738.0,250206.0,2829004.0
Số dư cuối kỳ,Giá trị còn lại > Số dư cuối kỳ,Số dư cuối kỳ,2.398.816,424.178,259.719,302.909,3.385.622,2398816.0,424178.0,259719.0,302909.0,3385622.0
