row_label_raw,row_label_full,col_0,Nămkết thúc31/12/2015Triệu VND,Nămkết thúc31/12/2014Triệu VND(Trình bày lại),numeric__Nămkết thúc31/12/2015Triệu VND,numeric__Nămkết thúc31/12/2014Triệu VND(Trình bày lại)
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,1.834.236,1.419.966,1834236.0,1419966.0
Thu nhập từ hoàn nhập dự phòng giảm giá đầu tư dài hạn(xem Thuyết minh 10(c)),Thu nhập từ hoạt động khác > Thu nhập từ hoàn nhập dự phòng giảm giá đầu tư dài hạn(xem Thuyết minh 10(c)),Thu nhập từ hoàn nhập dự phòng giảm giá đầu tư dài hạn(xem Thuyết minh 10(c)),-,10.449,,10449.0
Thu về nghiệp vụ bán nợ,Thu nhập từ hoạt động khác > Thu về nghiệp vụ bán nợ,Thu về nghiệp vụ bán nợ,212.882,356.548,212882.0,356548.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,93.432,152.665,93432.0,152665.0
,,,2.140.550,1.939.628,2140550.0,1939628.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí hoạt động khác > Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí cho nghiệp vụ hoán đổi lãi suất,(4.310),(32.815),-4310.0,-32815.0
Chi về nghiệp vụ bán nợ,Chi phí hoạt động khác > Chi về nghiệp vụ bán nợ,Chi về nghiệp vụ bán nợ,(110),(163),-110.0,-163.0
Chi công tác xã hội,Chi phí hoạt động khác > Chi công tác xã hội,Chi công tác xã hội,(211.851),(111.625),-211851.0,-111625.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(19.000),(10.382),-19000.0,-10382.0
,,,(235.271),(154.985),-235271.0,-154985.0
,,,1.905.279,1.784.643,1905279.0,1784643.0
