row_label_raw,row_label_full,col_0,31/12/2015Triệu VND,31/12/2014Triệu VND(Trình bày lại),numeric__31/12/2015Triệu VND,numeric__31/12/2014Triệu VND(Trình bày lại)
Xây dựng,Xây dựng,Xây dựng,21.295.535,16.396.304,21295535.0,16396304.0
"Sản xuất và phân phối điện, khí đốt và nước","Sản xuất và phân phối điện, khí đốt và nước","Sản xuất và phân phối điện, khí đốt và nước",27.270.622,23.634.980,27270622.0,23634980.0
Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,122.263.924,111.471.498,122263924.0,111471498.0
Khai khoáng,Khai khoáng,Khai khoáng,17.467.032,13.996.417,17467032.0,13996417.0
"Nông, lâm, thủy hải sản","Nông, lâm, thủy hải sản","Nông, lâm, thủy hải sản",10.765.546,7.629.908,10765546.0,7629908.0
Vận tải kho bãi và thông tin liên lạc,Vận tải kho bãi và thông tin liên lạc,Vận tải kho bãi và thông tin liên lạc,24.106.631,15.175.476,24106631.0,15175476.0
"Thương mại, dịch vụ","Thương mại, dịch vụ","Thương mại, dịch vụ",105.498.319,94.640.746,105498319.0,94640746.0
"Nhà hàng, khách sạn","Nhà hàng, khách sạn","Nhà hàng, khách sạn",8.777.850,8.806.821,8777850.0,8806821.0
Các ngành khác,Các ngành khác,Các ngành khác,49.706.245,31.585.968,49706245.0,31585968.0
,,,387.151.704,323.338.118,387151704.0,323338118.0
