row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Bản quyền và bằng sáng chếTriệu VND,Tài sản vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Bản quyền và bằng sáng chếTriệu VND,numeric__Tài sản vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu kỳ (trình bày lại),Nguyên giá > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),1.583.838,475.173,79.286,2.138.297,1583838.0,475173.0,79286.0,2138297.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,53.291,2.599,17.695,73.585,53291.0,2599.0,17695.0,73585.0
- Mua trong kỳ,Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,47.360,2.202,17.695,67.257,47360.0,2202.0,17695.0,67257.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,5.931,397,-,6.328,5931.0,397.0,,6328.0
Giảm trong kỳ,Nguyên giá > Giảm trong kỳ,Giảm trong kỳ,-,-,(83),(83),,,-83.0,-83.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,1.637.129,477.772,96.898,2.211.799,1637129.0,477772.0,96898.0,2211799.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ (trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),30.665,408.122,63.985,502.772,30665.0,408122.0,63985.0,502772.0
Tăng trong kỳ,Giá trị hao mòn lũy kế > Tăng trong kỳ,Tăng trong kỳ,8.425,44.350,2.484,55.259,8425.0,44350.0,2484.0,55259.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,7.345,44.350,2.484,54.179,7345.0,44350.0,2484.0,54179.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,1.080,-,-,1.080,1080.0,,,1080.0
Giảm trong kỳ,Giá trị hao mòn lũy kế > Giảm trong kỳ,Giảm trong kỳ,-,-,(83),(83),,,-83.0,-83.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,39.090,452.472,66.386,557.948,39090.0,452472.0,66386.0,557948.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu kỳ (trình bày lại),Giá trị còn lại > Số dư đầu kỳ (trình bày lại),Số dư đầu kỳ (trình bày lại),1.553.173,67.051,15.301,1.635.525,1553173.0,67051.0,15301.0,1635525.0
Số dư cuối kỳ,Giá trị còn lại > Số dư cuối kỳ,Số dư cuối kỳ,1.598.039,25.300,30.512,1.653.851,1598039.0,25300.0,30512.0,1653851.0
