row_label_raw,row_label_full,col_0,col_1,Miền Bắc Triệu VND,Miền Trung và Tây Nguyên Triệu VND,Miền Nam Triệu VND,Nước ngoài Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__col_1,numeric__Miền Bắc Triệu VND,numeric__Miền Trung và Tây Nguyên Triệu VND,numeric__Miền Nam Triệu VND,numeric__Nước ngoài Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,41.934.282(35.149.932),7.261.276(5.041.486),20.723.887(14.292.240),22.544(5.299),(38.581.260)38.581.260,31.360.729(15.907.697),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,41.934.282(35.149.932),7.261.276(5.041.486),20.723.887(14.292.240),22.544(5.299),(38.581.260)38.581.260,31.360.729(15.907.697),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,6.784.350,2.219.790,6.431.647,17.245,-,15.453.032,,6784350.0,2219790.0,6431647.0,17245.0,,15453032.0
3,3,3,Thu nhập từ hoạt động dịch vụ,2.002.710(1.652.944),306.636(19.979),1.335.822(61.864),17.446(6.393),(105.310)56.524,3.557.304(1.684.656),,,,,,,
4,4,4,Chi phí từ hoạt động dịch vụ,2.002.710(1.652.944),306.636(19.979),1.335.822(61.864),17.446(6.393),(105.310)56.524,3.557.304(1.684.656),,,,,,,
II,4 > II,II,Lãi thuần từ hoạt động dịch vụ,349.766,286.657,1.273.958,11.053,(48.786),1.872.648,,349766.0,286657.0,1273958.0,11053.0,-48786.0,1872648.0
III,4 > III,III,Lãi/(Lỗ) thuần từ hoạt động kinh doanh ngoại hối,1.189.613,58.430,324.551,(20),-,1.572.574,,1189613.0,58430.0,324551.0,-20.0,,1572574.0
IV,4 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,178.362,-,-,-,-,178.362,,178362.0,,,,,178362.0
V,4 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,171.467,-,-,-,-,171.467,,171467.0,,,,,171467.0
5,5,5,Thu nhập từ hoạt động khác,896.233(105.954),309.325(31.548),934.500(93.232),492(4.537),-,2.140.550(235.271),,,,,,,
6,6,6,Chi phí hoạt động khác,896.233(105.954),309.325(31.548),934.500(93.232),492(4.537),-,2.140.550(235.271),,,,,,,
VI,6 > VI,VI,Lãi/(Lỗ) thuần từ hoạt động khác,790.279,277.777,841.268,(4.045),-,1.905.279,,790279.0,277777.0,841268.0,-4045.0,,1905279.0
VII,6 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",48.435,-,-,-,-,48.435,,48435.0,,,,,48435.0
VIII,6 > VIII,VIII,Tổng chi phí hoạt động,(5.150.670),(890.075),(2.281.418),(32.872),48.786,(8.306.249),,-5150670.0,-890075.0,-2281418.0,-32872.0,48786.0,-8306249.0
IX,6 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,4.361.602,1.952.579,6.590.006,(8.639),-,12.895.548,,4361602.0,1952579.0,6590006.0,-8639.0,,12895548.0
X,6 > X,X,Chi phí dự phòng rủi ro tín dụng,(1.464.437),(569.324),(4.034.372),42,-,(6.068.091),,-1464437.0,-569324.0,-4034372.0,42.0,,-6068091.0
XI,6 > XI,XI,Tổng lợi nhuận trước thuế,2.897.165,1.383.255,2.555.634,(8.597),-,6.827.457,,2897165.0,1383255.0,2555634.0,-8597.0,,6827457.0
7,6 > 7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,(627.079),(304.316),(562.240),(1.465),-,(1.495.100),,-627079.0,-304316.0,-562240.0,-1465.0,,-1495100.0
8,6 > 8,8,Chi phí thuế thu nhập hoãn lại,(290),-,-,-,-,(290),,-290.0,,,,,-290.0
XII,6 > XII,XII,Chi phí thuế thu nhập doanh nghiệp,(627.369),(304.316),(562.240),(1.465),-,(1.495.390),,-627369.0,-304316.0,-562240.0,-1465.0,,-1495390.0
XIII,6 > XIII,XIII,Lợi nhuận sau thuế,2.269.796,1.078.939,1.993.394,(10.062),-,5.332.067,,2269796.0,1078939.0,1993394.0,-10062.0,,5332067.0
