row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2022VND,1/1/2022VND,,
Công ty TNHH Thương mại và Dịch vụ Thanh An,Công ty TNHH Thương mại và Dịch vụ Thanh An,Công ty TNHH Thương mại và Dịch vụ Thanh An,23.592.279.950,-,23592279950.0,
Công ty Cổ phần Xây dựng 47,Công ty Cổ phần Xây dựng 47,Công ty Cổ phần Xây dựng 47,16.389.223.096,21.274.096.825,16389223096.0,21274096825.0
Nippon Koei Ltd,Nippon Koei Ltd,Nippon Koei Ltd,11.981.620.605,12.907.138.995,11981620605.0,12907138995.0
Công ty TNHH Thương mại Sài Gòn Ban Mai,Công ty TNHH Thương mại Sài Gòn Ban Mai,Công ty TNHH Thương mại Sài Gòn Ban Mai,11.265.831.511,-,11265831511.0,
Công ty TNHH Nippon Koei Việt Nam International,Công ty TNHH Nippon Koei Việt Nam International,Công ty TNHH Nippon Koei Việt Nam International,9.978.576.385,9.978.576.385,9978576385.0,9978576385.0
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,8.837.969.155,4.495.485.171,8837969155.0,4495485171.0
Công ty TNHH Cơ điện Minh Anh,Công ty TNHH Cơ điện Minh Anh,Công ty TNHH Cơ điện Minh Anh,6.725.349.968,6.725.349.968,6725349968.0,6725349968.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,16.698.853.975,9.656.852.506,16698853975.0,9656852506.0
,,,105.469.704.645,65.037.499.850,105469704645.0,65037499850.0
