row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,9.022.411.937.464,5.655.222.419.056,83.085.762.173,53.268.650.560,253.880.507,14.814.242.649.760,9022411937464.0,5655222419056.0,83085762173.0,53268650560.0,253880507.0,14814242649760.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.760.527.254,11.654.199.589,66.933.524,87.355.402,-,13.569.015.769,1760527254.0,11654199589.0,66933524.0,87355402.0,,13569015769.0
Điều chỉnh khác (*),Nguyên giá > Điều chỉnh khác (*),Điều chỉnh khác (*),2.276.674.885,1.957.234.666,-,-,-,4.233.909.551,2276674885.0,1957234666.0,,,,4233909551.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(2.890.466.417),(5.003.971.586),(1.062.795.826),(36.500.000),(8.993.733.829),,-2890466417.0,-5003971586.0,-1062795826.0,-36500000.0,-8993733829.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,9.026.449.139.603,5.665.943.386.894,78.148.724.111,52.293.210.136,217.380.507,14.823.051.841.251,9026449139603.0,5665943386894.0,78148724111.0,52293210136.0,217380507.0,14823051841251.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.066.072.760.081,4.419.105.311.162,57.407.763.295,49.170.592.650,253.880.507,9.592.010.307.695,5066072760081.0,4419105311162.0,57407763295.0,49170592650.0,253880507.0,9592010307695.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,195.497.624.916,152.086.577.809,4.646.744.392,2.297.209.918,-,354.528.157.035,195497624916.0,152086577809.0,4646744392.0,2297209918.0,,354528157035.0
Điều chỉnh khác (*),Giá trị hao mòn lũy kế > Điều chỉnh khác (*),Điều chỉnh khác (*),(12.955.567.847),260.964.622,-,-,-,(12.694.603.225),-12955567847.0,260964622.0,,,,-12694603225.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.890.466.417),(5.003.971.586),(1.062.795.826),(36.500.000),(8.993.733.829),,-2890466417.0,-5003971586.0,-1062795826.0,-36500000.0,-8993733829.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.248.614.817.150,4.568.562.387.176,57.050.536.101,50.405.006.742,217.380.507,9.924.850.127.676,5248614817150.0,4568562387176.0,57050536101.0,50405006742.0,217380507.0,9924850127676.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.956.339.177.383,1.236.117.107.894,25.677.998.878,4.098.057.910,-,5.222.232.342.065,3956339177383.0,1236117107894.0,25677998878.0,4098057910.0,,5222232342065.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.777.834.322.453,1.097.380.999.718,21.098.188.010,1.888.203.394,-,4.898.201.713.575,3777834322453.0,1097380999718.0,21098188010.0,1888203394.0,,4898201713575.0
