row_label_raw,row_label_full,Tên ngân hàng,Ngày 31 tháng12 năm 2015,Nguyên tệ,Nguyên tệ_1,Thời hạn thanh toán,Lãi suất,Tài sân thế chấp,numeric__Ngày 31 tháng12 năm 2015,numeric__Nguyên tệ,numeric__Nguyên tệ_1,numeric__Thời hạn thanh toán,numeric__Lãi suất,numeric__Tài sân thế chấp
Tên ngân hàng,Tên ngân hàng,Tên ngân hàng,Ngàn VND,Ngàn VND,USD,Thời hạn thanh toán,Lãi suất,Tài sân thế chấp,,,,,,
"BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai",,,,,,
"Hợp đồng vay số01/2010/HĐ-TD, ngày1 tháng 4 năm 2010","BIDV, Chi nhánh Gia Lai > Hợp đồng vay số01/2010/HĐ-TD, ngày1 tháng 4 năm 2010","Hợp đồng vay số01/2010/HĐ-TD, ngày1 tháng 4 năm 2010",723.036.497,-,32.077.928,Hoàn trả trong vòng130 tháng kể tửngày giải ngân đầutiền (ngày 28 tháng4 năm 2010),"Lãi suất huy động tiếtkiệm của BIDV bằngUSD kỳ hạn 12 tháng trảlãi sau + 4,7%/năm(2015: 7%)","Quyền sử dụng đất và vườn câycao su với quy mô 10.000 hatai Huyện Saysetha, San Xayvà Phu Vong, Tĩnh Attapeu,Lào của các công ty con",723036497.0,,32077928.0,,,
Trong đó:Vay dài hạn đếnhạn trả,"BIDV, Chi nhánh Gia Lai > Trong đó:Vay dài hạn đếnhạn trả",Trong đó:Vay dài hạn đếnhạn trả,40.572.000,,,,,,40572000.0,,,,,
"Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng",,,,,,
"Hợp đồng tín dụng sốLD1400300153, ngày 3tháng 1 năm 2014","Sacombank, Chi nhánh Đà Nẵng > Hợp đồng tín dụng sốLD1400300153, ngày 3tháng 1 năm 2014","Hợp đồng tín dụng sốLD1400300153, ngày 3tháng 1 năm 2014",262.454.605,-,12.420.658,Hoàn trả trong vòng60 tháng kể tửngày giải ngân đầutiền (ngày 3 tháng 1năm 2014),"1,125%/tháng trong 3tháng đầu, sau đó đượcđiều chỉnh 4 lần mốinăm theo lãi suất tiềngửi kỳ hạn 13 tháng +0,3333%/tháng (2015:11,55% - 12%/năm)","Quyền sử dụng đất 20.000 m2đất và tài sản gắn liền trên đất tạiPhường Bình Thuận, Quận HảiChâu, Thành phố Đà Nẵng thuộcsở hữu của Công ty Cổ phần Xây dựng – Phát triển Nhà HoàngAnh và 16 triệu cổ phiếu HAGcủa Chủ tịch Đoàn Nguyễn Đức",262454605.0,,12420658.0,,,
TỔNG CỘNG,"Sacombank, Chi nhánh Đà Nẵng > TỔNG CỘNG",TỔNG CỘNG,985.491.102,,,,,,985491102.0,,,,,
