row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngàn VNDNăm trước(đã điều chỉnhlại – Thuyếtminh số 21),numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngàn VNDNăm trước(đã điều chỉnhlại – Thuyếtminh số 21)
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Vay và mượnMua các khoản đầu tưChi phí lãi vayTrả cổ tứcMua tài sản cố địnhBán tài sản cố địnhMua nguyên vật liệuBán hàng hóa,2.456.390.738485.731.688117.170.46783.091.160- - - -,541.877.60438.086.14481.797.144- 48.671.74329.519.5753.893.678722.516,,,,
Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Công ty con,"Mua nguyên vật liệu, tài sảnCổ tức",2.333.073-,2.569.13210.512.975,,,,256913210512975.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Lãi cho vayBán hàng hóa,17.561.41062.470,21.100.413325.500,,,1756141062470.0,21100413325500.0
Công ty TNHH Công nghiệp và Nồng nghiệp Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Công nghiệp và Nồng nghiệp Cao su Hoàng Anh - Quang Minh,Công ty TNHH Công nghiệp và Nồng nghiệp Cao su Hoàng Anh - Quang Minh,Công ty con,Bán hàng hóa,4.703.715,4.034.050,,,4703715.0,4034050.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Lãi cho vay,74.531.852,82.864.627,,,74531852.0,82864627.0
Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Công ty con,Cổ tứcCho vayLãi cho vayBán hàng hóa,372.000.000199.999.98083.343.743-,- -81.254.030851.402,,,,81254030851402.0
Công ty TNHH Hoàng Anh Rattanakiri,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Cho vayLãi cho vay,99.999.99984.938.972,-79.214.301,,,9999999984938972.0,-79214301.0
Công ty TNHH Hoàng Anh Oyadav,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Cho vayLãi cho vayChi phí tư vấn,150.004.98779.162.589-,-21.346.2293.354.842,,,,-213462293354842.0
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty con,Cổ tứcLãi cho vay,818.255.49657.410.591,-60.671.491,,,8.18255496574106e+16,-60671491.0
Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Bán tài sản cố địnhBán hàng hóa,589.441601.081,- -,,,589441601081.0,
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Bên liên quan,Lãi cho vayBán hàng hóaCổ tức,23.882.1774.769.767-,26.435.6024.045.70077.840.319,,,,2.643560240457008e+22
