row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015_1,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Ngày 31 tháng 12 năm 2015,numeric__Ngày 31 tháng 12 năm 2015_1,numeric__Ngày 31 tháng 12 năm 2014,numeric__Ngày 31 tháng 12 năm 2014_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc Ngân VND,Tỷ lệ sở hữu %,Giá gốc Ngân VND,,,,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Tên công ty con > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Nông nghiệp và xây dựng,Đang hoạt động,"100,00",2.080.734.798,"100,00",1.936.150.456,,,100.0,2080734798.0,100.0,1936150456.0
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Tên công ty con > Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Nông nghiệp,Đang hoạt động,"99,99",1.375.149.450,"99,99",1.375.149.450,,,99.99,1375149450.0,99.99,1375149450.0
Công ty TNHH Hoàng Anh Rattanakiri,Tên công ty con > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Nông nghiệp,Trước hoạt động,"100,00",909.883.615,"100,00",909.883.615,,,100.0,909883615.0,100.0,909883615.0
Công ty Cổ phần Đông Pênh (i),Tên công ty con > Công ty Cổ phần Đông Pênh (i),Công ty Cổ phần Đông Pênh (i),Nông nghiệp,Trước hoạt động,"99,70",798.397.600,-,-,,,99.7,798397600.0,,
Công ty Cổ phần An Đông Mia (ii),Tên công ty con > Công ty Cổ phần An Đông Mia (ii),Công ty Cổ phần An Đông Mia (ii),Nông nghiệp,Trước hoạt động,"69,50",695.695.000,-,-,,,69.5,695695000.0,,
Công ty Cổ phần Bò sữa Tây Nguyên (iii),Tên công ty con > Công ty Cổ phần Bò sữa Tây Nguyên (iii),Công ty Cổ phần Bò sữa Tây Nguyên (iii),Chăn nuôi,Đang hoạt động,"99,00",615.584.549,-,-,,,99.0,615584549.0,,
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh (iv),Tên công ty con > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh (iv),Công ty Cổ phần Cao su Hoàng Anh - Quang Minh (iv),Nông nghiệp,Đang hoạt động,"97,77",440.512.398,"97,54",439.601.488,,,97.77,440512398.0,97.54,439601488.0
Công ty Cổ phần Hoàng Anh Đắk Lắk (v),Tên công ty con > Công ty Cổ phần Hoàng Anh Đắk Lắk (v),Công ty Cổ phần Hoàng Anh Đắk Lắk (v),Nông nghiệp và bất động sản,Đang hoạt động,"99,53",394.313.155,"99,42",373.422.705,,,99.53,394313155.0,99.42,373422705.0
Công ty TNHH Hoàng Anh Oyadav,Tên công ty con > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Nông nghiệp,Trước hoạt động,"100,00",171.654.457,"100,00",171.654.457,,,100.0,171654457.0,100.0,171654457.0
Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Tên công ty con > Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Thương mại,Đang hoạt động,"100,00",100.000.000,"100,00",66.673.191,,,100.0,100000000.0,100.0,66673191.0
Công ty Cổ phần Cao su Trung Nguyên (trước đây là Công ty Trồng rừng Công nghiệp Gia Lai) (vi),Tên công ty con > Công ty Cổ phần Cao su Trung Nguyên (trước đây là Công ty Trồng rừng Công nghiệp Gia Lai) (vi),Công ty Cổ phần Cao su Trung Nguyên (trước đây là Công ty Trồng rừng Công nghiệp Gia Lai) (vi),Nông nghiệp,Đang hoạt động,-,-,"99,83",425.625.996,,,,,99.83,425625996.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,,7.581.925.022,,5.698.161.358,,,,7581925022.0,,5698161358.0
