row_label_raw,row_label_full,col_0,Ngàn VND,Ngàn VND_1,Ngàn VND_2,numeric__Ngàn VND,numeric__Ngàn VND_1,numeric__Ngàn VND_2
,,,Ngày 31 tháng 12năm 2014(trước điều chỉnh),Điều chỉnh lại,Ngày 31 tháng 12năm 2014(sau điều chỉnh),,,
BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,,,
Các khoản phải thu khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Các khoản phải thu khác,Các khoản phải thu khác,4.448.461.094,200.000.000,4.648.461.094,4448461094.0,200000000.0,4648461094.0
Chi phí phải trả dài hạn,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,-,200.000.000,200.000.000,,200000000.0,200000000.0
,,,Năm trước(trước điều chỉnh),Điều chỉnh lại,Ngàn VNDNăm trước(sau điều chỉnh),,,
BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,,,
Doanh thu hoạt động tài chính,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,365.662.845,100.000.000,465.662.845,365662845.0,100000000.0,465662845.0
Chi phí tài chính,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Chi phí tài chính,Chi phí tài chính,(252.474.286),(100.000.000),(352.474.286),-252474286.0,-100000000.0,-352474286.0
Trong đó: Chi phí lãi vay,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,(248.436.845),(100.000.000),(348.436.845),-248436845.0,-100000000.0,-348436845.0
BẢO CẢO LƯU CHUYÊN TIÊN TỆ RIÊNG,BẢO CẢO LƯU CHUYÊN TIÊN TỆ RIÊNG,BẢO CẢO LƯU CHUYÊN TIÊN TỆ RIÊNG,BẢO CẢO LƯU CHUYÊN TIÊN TỆ RIÊNG,BẢO CẢO LƯU CHUYÊN TIÊN TỆ RIÊNG,BẢO CẢO LƯU CHUYÊN TIÊN TỆ RIÊNG,,,
Lãi từ hoạt động đầu tư,BẢO CẢO LƯU CHUYÊN TIÊN TỆ RIÊNG > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,(361.625.390),(100.000.000),(461.625.390),-361625390.0,-100000000.0,-461625390.0
Chi phí lãi vay,BẢO CẢO LƯU CHUYÊN TIÊN TỆ RIÊNG > Chi phí lãi vay,Chi phí lãi vay,248.436.845,100.000.000,348.436.845,248436845.0,100000000.0,348436845.0
