row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước(trình bày lại – Thuyết minh số 21),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(trình bày lại – Thuyết minh số 21)
10,10,10,Doanh thu thuần về bán hàng,,12.502.387,10.081.668,,,12502387.0,10081668.0
11,11,11,Giá vốn hàng bán,,(10.912.626),(7.760.345),,,-10912626.0,-7760345.0
20,20,20,Lợi nhuận gộp về bán hàng,,1.589.761,2.321.323,,,1589761.0,2321323.0
21,21,21,Doanh thu hoạt động tài chính,16,1.554.902.898,465.662.845,,16.0,1554902898.0,465662845.0
22,22,22,Chi phí tài chính,17,(348.787.673),(352.474.286),,17.0,-348787673.0,-352474286.0
23,23,23,Trong đó: Chi phí lãi vay,,(345.763.745),(348.436.845),,,-345763745.0,-348436845.0
25,25,25,Chi phí bán hàng,,(1.434.776),(2.005.159),,,-1434776.0,-2005159.0
26,26,26,Chi phí quản lý doanh nghiệp,,(46.629.496),(18.475.415),,,-46629496.0,-18475415.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,1.159.640.714,95.029.308,,,1159640714.0,95029308.0
31,31,31,Thu nhập khác,,3.510.057,1.622,,,3510057.0,1622.0
32,32,32,Chi phí khác,,(5.741.753),-,,,-5741753.0,
40,40,40,(Lỗ) lợi nhuận khác,,(2.231.696),1.622,,,-2231696.0,1622.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,1.157.409.018,95.030.930,,,1157409018.0,95030930.0
51,51,51,Thu nhập (chi phí) thuế TNDN hiện hành,18.1,186.505,(1.058.447),,181.0,186505.0,-1058447.0
60,60,60,Lợi nhuận sau thuế TNDN,,1.157.595.523,93.972.483,,,1157595523.0,93972483.0
