row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2014(trình bày lại – Thuyết minh số 21),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2015,numeric__Ngày 31 tháng 12 năm 2014(trình bày lại – Thuyết minh số 21)
300,300,300,C. NỘ PHẢI TRẢ,,5.130.207.338,5.357.554.042,,,5130207338.0,5357554042.0
310,310,310,I. Nợ ngắn hạn,,1.454.911.883,3.756.594.851,,,1454911883.0,3756594851.0
311,311,311,1. Phải trả người bán ngắn hạn,11,62.617.582,49.535.597,,11.0,62617582.0,49535597.0
313,313,313,2. Thuế và các khoản phải nộp Nhà nước,,1.648.286,1.661.435,,,1648286.0,1661435.0
314,314,314,3. Phải trả người lao động,,1.107.407,894.958,,,1107407.0,894958.0
315,315,315,4. Chỉ phí phải trả ngắn hạn,12,305.212.779,6.718.423,,12.0,305212779.0,6718423.0
319,319,319,5. Phải trả ngắn hạn khác,13,677.680.829,1.439.956.438,,13.0,677680829.0,1439956438.0
320,320,320,6. Vay ngắn hạn,14,406.645.000,2.257.828.000,,14.0,406645000.0,2257828000.0
330,330,330,II. Nợ dài hạn,,3.675.295.455,1.600.959.191,,,3675295455.0,1600959191.0
333,333,333,1. Chỉ phí phải trả dài hạn,12,-,200.000.000,,12.0,,200000000.0
338,338,338,2. Vay dài hạn,14,3.675.295.455,1.400.959.191,,14.0,3675295455.0,1400959191.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,8.269.376.171,5.313.807.888,,,8269376171.0,5313807888.0
410,410,410,I. Vốn chủ sở hữu,15,8.269.376.171,5.313.807.888,,15.0,8269376171.0,5313807888.0
411,411,411,1. Vốn cổ phần,,7.081.438.950,3.990.670.000,,,7081438950.0,3990670000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,7.081.438.950,3.990.670.000,,,7081438950.0,3990670000.0
412,412,412,2. Thặng dư vốn cổ phần,,2.550.810,1.295.347.000,,,2550810.0,1295347000.0
421,421,421,3. Lợi nhuận sau thuế chưa phân phối,,1.185.386.411,27.790.888,,,1185386411.0,27790888.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,27.790.888,19.507.500,,,27790888.0,19507500.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,1.157.595.523,8.283.388,,,1157595523.0,8283388.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,13.399.583.509,10.671.361.930,,,13399583509.0,10671361930.0
