row_label_raw,row_label_full,Phải thu từ bên liên quan (Thuyết minh số 19),Ngày 31 tháng 12năm 2015 > 19.285.351,Ngày 31 tháng 12năm 2014 > 9.207.848,numeric__Ngày 31 tháng 12năm 2015 > 19.285.351,numeric__Ngày 31 tháng 12năm 2014 > 9.207.848
Phải thu từ khách hàng,Phải thu từ khách hàng,Phải thu từ khách hàng,3.385.413,6.600.548,3385413.0,6600548.0
- Công ty TNHH Mốt thành viên Thiên Quan,- Công ty TNHH Mốt thành viên Thiên Quan,- Công ty TNHH Mốt thành viên Thiên Quan,3.385.413,4.586.800,3385413.0,4586800.0
- Khách hàng khác,- Khách hàng khác,- Khách hàng khác,-,2.013.748,,2013748.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,22.670.764,15.808.396,22670764.0,15808396.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(2.369.789),(1.896.760),-2369789.0,-1896760.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,20.300.975,13.911.636,20300975.0,13911636.0
