row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2014(trình bày lại – Thuyết minh số 21),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2015,numeric__Ngày 31 tháng 12 năm 2014(trình bày lại – Thuyết minh số 21)
100,100,100,A. TÀI SẢN NGĂN HẠN,,2.794.644.068,1.326.076.878,,,2794644068.0,1326076878.0
110,110,110,I. Tiền,4,572.980,1.449.756,,4.0,572980.0,1449756.0
111,111,111,1. Tiền,,572.980,1.449.756,,,572980.0,1449756.0
130,130,130,II. Các khoản phải thu ngắn hạn,,2.792.656.170,1.323.479.683,,,2792656170.0,1323479683.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,5,22.670.764,15.808.396,,5.0,22670764.0,15808396.0
132,132,132,2. Trả trước cho người bán ngắn hạn,,567.410,4.543.000,,,567410.0,4543000.0
135,135,135,3. Phải thu về cho vay ngắn hạn,19,1.510.757.588,405.196.050,,19.0,1510757588.0,405196050.0
136,136,136,4. Phải thu ngắn hạn khác,6,1.261.030.197,899.828.997,,6.0,1261030197.0,899828997.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,5,(2.369.789),(1.896.760),,5.0,-2369789.0,-1896760.0
140,140,140,III. Hàng tồn kho,7,1.028.896,1.123.079,,7.0,1028896.0,1123079.0
141,141,141,1. Hàng tồn kho,,1.028.896,1.123.079,,,1028896.0,1123079.0
150,150,150,IV. Tài sản ngắn hạn khác,,386.022,24.360,,,386022.0,24360.0
151,151,151,1. Chi phí trả trước ngắn hạn,,-,24.360,,,,24360.0
152,152,152,2. Thuế GTGT được khấu trừ,,100.191,-,,,100191.0,
153,153,153,3. Thuế và các khoản phải thu Nhà nước,,285.831,-,,,285831.0,
200,200,200,B. TÀI SẢN DÀI HẠN,,10.604.939.441,9.345.285.052,,,10604939441.0,9345285052.0
210,210,210,I. Khoản phải thu dài hạn,,2.703.320.877,3.343.583.806,,,2703320877.0,3343583806.0
215,215,215,1. Phải thu về cho vay dài hạn,19,2.703.320.877,3.343.583.806,,19.0,2703320877.0,3343583806.0
220,220,220,II. Tài sản cố định,,45.939.164,53.835.887,,,45939164.0,53835887.0
221,221,221,1. Tài sản cố định hữu hình,8,9.475.958,11.323.042,,8.0,9475958.0,11323042.0
222,222,222,Nguyên giá,,25.036.836,23.802.035,,,25036836.0,23802035.0
223,223,223,Giá trị hao mòn lũy kế,,(15.560.878),(12.478.993),,,-15560878.0,-12478993.0
227,227,227,2. Tài sản cố định vô hình,9,36.463.206,42.512.845,,9.0,36463206.0,42512845.0
228,228,228,Nguyên giá,,48.197.185,48.197.185,,,48197185.0,48197185.0
229,229,229,Giá trị hao mòn lũy kế,,(11.733.979),(5.684.340),,,-11733979.0,-5684340.0
250,250,250,III. Đầu tư tài chính dài hạn,10,7.855.101.013,5.946.621.909,,10.0,7855101013.0,5946621909.0
251,251,251,1. Đầu tư vào công ty con,10.1,7.581.925.022,5.698.161.358,,101.0,7581925022.0,5698161358.0
252,252,252,2. Đầu tư vào công ty liên kết,10.2,273.175.991,248.460.551,,102.0,273175991.0,248460551.0
260,260,260,IV. Tài sản dài hạn khác,,578.387,1.243.450,,,578387.0,1243450.0
261,261,261,1. Chi phí trả trước dài hạn,,578.387,1.243.450,,,578387.0,1243450.0
270,270,270,TỔNG CỘNG TÀI SẢN,,13.399.583.509,10.671.361.930,,,13399583509.0,10671361930.0
