row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước(trình bày lại – Thuyết minh số 21),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(trình bày lại – Thuyết minh số 21)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận kè toán trước thuế Điều chỉnh cho các khoản:,,1.157.409.018,95.030.930,,,1157409018.0,95030930.0
02,02,02,Khấu hao và hao mòn,"8, 9",9.580.583,9.262.807,,,9580583.0,9262807.0
03,03,03,Dự phòng,,473.029,1.896.760,,,473029.0,1896760.0
04,04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,,1.511.014,-,,,1511014.0,
05,05,05,Lãi từ hoạt động đầu tư,,(1.554.584.317),(461.625.390),,,-1554584317.0,-461625390.0
06,06,06,Chỉ phí lãi vay,17,345.763.745,348.436.845,,17.0,345763745.0,348436845.0
08,08,08,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu động,,(39.846.928),(6.998.048),,,-39846928.0,-6998048.0
09,09,09,Tăng các khoản phải thu,,(190.537.314),(57.062.956),,,-190537314.0,-57062956.0
10,10,10,Giảm hàng tồn kho,,94.183,2.295.268,,,94183.0,2295268.0
11,11,11,Tăng các khoản phải trả,,54.508.869,155.005.962,,,54508869.0,155005962.0
12,12,12,Giảm chỉ phí trả trước,,689.423,1.042.639,,,689423.0,1042639.0
14,14,14,Tiền lãi vay đã trả,,(294.208.449),(250.912.907),,,-294208449.0,-250912907.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,18.1,(1.157.773),-,,181.0,-1157773.0,
17,17,17,Tiền chỉ khác cho hoạt động kinh doanh,,-,(234.747),,,,-234747.0
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(470.457.989),(156.864.789),,,-470457989.0,-156864789.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,Tiền chỉ để mua sắm tài sản cố định,,(2.273.301),(12.075.575),,,-2273301.0,-12075575.0
22,22,22,"Tiền thu do thanh lý, nhượng bán tài sản cố định",,589.441,-,,,589441.0,
23,23,23,Tiền chỉ cho các đơn vị khác vay,,(450.004.966),(512.426.710),,,-450004966.0,-512426710.0
24,24,24,Tiền thu hồi cho vay,,19.652.607,6.942.619,,,19652607.0,6942619.0
25,25,25,Tiền chỉ đầu tư góp vốn vào đơn vị khác,,(1.794.800.626),(646.123.065),,,-1794800626.0,-646123065.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,1.232.022.903,43.176,,,1232022903.0,43176.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(994.813.942),(1.163.639.555),,,-994813942.0,-1163639555.0
