row_label_raw,row_label_full,"Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (""BIDV""), chi nhánh Gia Lai",Ngày 31 tháng 12năm 2015 > 723.036.497,Ngày 31 tháng 12năm 2014 > 694.183.233,numeric__Ngày 31 tháng 12năm 2015 > 723.036.497,numeric__Ngày 31 tháng 12năm 2014 > 694.183.233
"Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank""), chi nhánh Đà Nẵng","Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank""), chi nhánh Đà Nẵng","Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank""), chi nhánh Đà Nẵng",262.454.605,262.454.605,262454605.0,262454605.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,985.491.102,956.637.838,985491102.0,956637838.0
Trong đó :,Trong đó :,Trong đó :,Trong đó :,Trong đó :,,
Vay dài hạn,Trong đó : > Vay dài hạn,Vay dài hạn,944.919.102,948.088.238,944919102.0,948088238.0
Vay dài hạn đến hạn trả,Trong đó : > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,40.572.000,8.549.600,40572000.0,8549600.0
