row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Ngày 31 tháng12 năm 2015,Ngàn VNDNgày 31 tháng12 năm 2014(dã điều chỉnh lại – Thuyết minh số 21),numeric__Mối quan hệ,numeric__Giao dịch,numeric__Ngày 31 tháng12 năm 2015,numeric__Ngàn VNDNgày 31 tháng12 năm 2014(dã điều chỉnh lại – Thuyết minh số 21)
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phầnHoàng Anh Gia Lai,Phải thu ngắn hạn khác > Công ty Cổ phầnHoàng Anh Gia Lai,Công ty Cổ phầnHoàng Anh Gia Lai,Công ty mẹ,Chi hộ,2.065.085,-,,,2065085.0,
Công ty TNHH Phát triển Nông nghiệpHoàng Anh Attapeu,Phải thu ngắn hạn khác > Công ty TNHH Phát triển Nông nghiệpHoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệpHoàng Anh Attapeu,Công ty con,Lãi cho vayChi hộ,260.857.6965.446.141,186.729.313-,,,2608576965446141.0,
Công ty TNHH Hoàng Anh Rattanakiri,Phải thu ngắn hạn khác > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Lãi cho vayChi hộ,280.531.8517.212.880,204.377.359-,,,2805318517212880.0,
Công ty Cổ phầnCao su Hoàng Anh -Quang Minh,Phải thu ngắn hạn khác > Công ty Cổ phầnCao su Hoàng Anh -Quang Minh,Công ty Cổ phầnCao su Hoàng Anh -Quang Minh,Công ty con,Lãi cho vayCổ tức phải thuChi hộ,249.609.74319.507.5006.391.705,181.469.59619.507.500-,,,2.4960974319507502e+23,
Công ty TNHH Hoàng Anh Oyadav,Phải thu ngắn hạn khác > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Lãi cho vayChi hộ,166.450.8085.406.428,95.650.979-,,,1664508085406428.0,
Công ty Cổ phần Mía đường Hoàng AnhGia Lai,Phải thu ngắn hạn khác > Công ty Cổ phần Mía đường Hoàng AnhGia Lai,Công ty Cổ phần Mía đường Hoàng AnhGia Lai,Công ty con,Lãi cho vayCổ tức phải thuChi hộ,185.641.9368.148.90025.000,136.692.235-,,,1.8564193681489002e+20,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu ngắn hạn khác > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Lãi cho vay,32.348.831,38.983.780,,,32348831.0,38983780.0
Công ty Cổ Phần Cao su Trung Nguyên,Phải thu ngắn hạn khác > Công ty Cổ Phần Cao su Trung Nguyên,Công ty Cổ Phần Cao su Trung Nguyên,Bên liên quan,Lãi cho vayKhác,29.460.203304.838,18.550.062-,,,29460203304838.0,
Công ty TNHH Công nghiệp và Nông nghiệpCao su Hoàng Anh -Quang Minh,Phải thu ngắn hạn khác > Công ty TNHH Công nghiệp và Nông nghiệpCao su Hoàng Anh -Quang Minh,Công ty TNHH Công nghiệp và Nông nghiệpCao su Hoàng Anh -Quang Minh,Công ty con,Chi hộ,333.500,1.946.085,,,333500.0,1946085.0
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Phải thu ngắn hạn khác > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,Cổ tứcphải thu,-,10.512.975,,,,10512975.0
Công ty Cổ phần Mía đường Hoàng Anh Attapeu,Phải thu ngắn hạn khác > Công ty Cổ phần Mía đường Hoàng Anh Attapeu,Công ty Cổ phần Mía đường Hoàng Anh Attapeu,Công ty con,Chi hộ,-,1.861.956,,,,1861956.0
Công ty TNHH Hoàng Anh An Đông Meas,Phải thu ngắn hạn khác > Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty con,Chi hộ,-,1.337.004,,,,1337004.0
,,,,,1.259.743.045,897.618.844,,,1259743045.0,897618844.0
