row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngân VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngân VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Vào ngày 31 tháng12 năm 2014,Nguyên giá > Vào ngày 31 tháng12 năm 2014,Vào ngày 31 tháng12 năm 2014,16.616.942,6.903.819,281.274,23.802.035,16616942.0,6903819.0,281274.0,23802035.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.004.504,1.268.797,-,2.273.301,1004504.0,1268797.0,,2273301.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.038.500),-,(1.038.500),,-1038500.0,,-1038500.0
Vào ngày 31 tháng12 năm 2015,Nguyên giá > Vào ngày 31 tháng12 năm 2015,Vào ngày 31 tháng12 năm 2015,17.621.446,7.134.116,281.274,25.036.836,17621446.0,7134116.0,281274.0,25036836.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,316.623,-,242.365,558.988,316623.0,,242365.0,558988.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Vào ngày 31 tháng12 năm 2014,Hao mòn lũy kế > Vào ngày 31 tháng12 năm 2014,Vào ngày 31 tháng12 năm 2014,9.711.653,2.530.580,236.760,12.478.993,9711653.0,2530580.0,236760.0,12478993.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.724.825,765.928,40.191,3.530.944,2724825.0,765928.0,40191.0,3530944.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,-,(449.059),-,(449.059),,-449059.0,,-449059.0
Vào ngày 31 tháng12 năm 2015,Hao mòn lũy kế > Vào ngày 31 tháng12 năm 2015,Vào ngày 31 tháng12 năm 2015,12.436.478,2.847.449,276.951,15.560.878,12436478.0,2847449.0,276951.0,15560878.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Vào ngày 31 tháng12 năm 2014,Giá trị còn lại > Vào ngày 31 tháng12 năm 2014,Vào ngày 31 tháng12 năm 2014,6.905.289,4.373.239,44.514,11.323.042,6905289.0,4373239.0,44514.0,11323042.0
Vào ngày 31 tháng12 năm 2015,Giá trị còn lại > Vào ngày 31 tháng12 năm 2015,Vào ngày 31 tháng12 năm 2015,5.184.968,4.286.667,4.323,9.475.958,5184968.0,4286667.0,4323.0,9475958.0
