row_label_raw,row_label_full,Các khoản phải thu khác,4.648.461.094,(4.648.461.094),-,numeric__4.648.461.094,numeric__(4.648.461.094),numeric__-
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,147.759,(147.759),-,147759.0,-147759.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,405.196.050,405.196.050,,405196050.0,405196050.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,-,899.828.997,899.828.997,,899828997.0,899828997.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,3.343.583.806,3.343.583.806,,3343583806.0,3343583806.0
,,,,,Ngàn VND,,,
,,,Năm trước(dã được trình bày trước đây),Phân loại lại,Năm trước(được phân loại lại),,,
