row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Vào ngày 1 tháng 1 năm 2014,Năm trước > Vào ngày 1 tháng 1 năm 2014,Vào ngày 1 tháng 1 năm 2014,3.990.670.000,1.295.347.000,24.229.546,5.310.246.546,3990670000.0,1295347000.0,24229546.0,5310246546.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,93.972.483,93.972.483,,,93972483.0,93972483.0
Thù lao Hội đồng Quản trị và Ban Kiểm soát,Năm trước > Thù lao Hội đồng Quản trị và Ban Kiểm soát,Thù lao Hội đồng Quản trị và Ban Kiểm soát,-,-,(221.999),(221.999),,,-221999.0,-221999.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,(90.189.142),(90.189.142),,,-90189142.0,-90189142.0
Vào ngày 31 tháng 12 năm 2014,Năm trước > Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,3.990.670.000,1.295.347.000,27.790.888,5.313.807.888,3990670000.0,1295347000.0,27790888.0,5313807888.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Vào ngày 1 tháng 1 năm 2015,Năm nay > Vào ngày 1 tháng 1 năm 2015,Vào ngày 1 tháng 1 năm 2015,3.990.670.000,1.295.347.000,27.790.888,5.313.807.888,3990670000.0,1295347000.0,27790888.0,5313807888.0
Phát hành cổ phiếu thu bằng tiền (i),Năm nay > Phát hành cổ phiếu thu bằng tiền (i),Phát hành cổ phiếu thu bằng tiền (i),798.723.950,999.248.810,-,1.797.972.760,798723950.0,999248810.0,,1797972760.0
Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần (ii),Năm nay > Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần (ii),Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần (ii),2.292.045.000,(2.292.045.000),-,-,2292045000.0,-2292045000.0,,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.157.595.523,1.157.595.523,,,1157595523.0,1157595523.0
Vào ngày 31 tháng 12 năm 2015,Năm nay > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,7.081.438.950,2.550.810,1.185.386.411,8.269.376.171,7081438950.0,2550810.0,1185386411.0,8269376171.0
