row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Ngàn VNDNgày 31 tháng 12năm 2014(dã điều chỉnh lại –Thuyết minh số 21),numeric__Ngày 31 tháng 12năm 2015,numeric__Ngàn VNDNgày 31 tháng 12năm 2014(dã điều chỉnh lại –Thuyết minh số 21)
Ngắn hạn,Ngắn hạn,Ngắn hạn,305.212.779,6.718.423,305212779.0,6718423.0
Chỉ phí lãi vay,Chỉ phí lãi vay,Chỉ phí lãi vay,305.212.779,5.828.823,305212779.0,5828823.0
Khác,Khác,Khác,-,889.600,,889600.0
Dài hạn,Dài hạn,Dài hạn,-,200.000.000,,200000000.0
Chỉ phí lãi vay,Chỉ phí lãi vay,Chỉ phí lãi vay,-,200.000.000,,200000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,305.212.779,206.718.423,305212779.0,206718423.0
