row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Ngày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Ngày 31 tháng 12năm 2014
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,406.645.000,2.257.828.000,406645000.0,2257828000.0
Vay dài hạn trái phiếu đến hạn trả(Thuyết minh số 14.1),Vay dài hạn trái phiếu đến hạn trả(Thuyết minh số 14.1),Vay dài hạn trái phiếu đến hạn trả(Thuyết minh số 14.1),300.000.000,2.000.000.000,300000000.0,2000000000.0
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 14.3),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 14.3),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 14.3),40.572.000,8.549.600,40572000.0,8549600.0
Vay dài hạn bên liên quan đến hạn trả(Thuyết minh số 14.4),Vay dài hạn bên liên quan đến hạn trả(Thuyết minh số 14.4),Vay dài hạn bên liên quan đến hạn trả(Thuyết minh số 14.4),66.073.000,249.278.400,66073000.0,249278400.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,3.675.295.455,1.400.959.191,3675295455.0,1400959191.0
Vay dài hạn trái phiếu (Thuyết minh số 14.2),Vay dài hạn trái phiếu (Thuyết minh số 14.2),Vay dài hạn trái phiếu (Thuyết minh số 14.2),1.700.000.000,-,1700000000.0,
Vay dài hạn ngân hàng (Thuyết minh số 14.3),Vay dài hạn ngân hàng (Thuyết minh số 14.3),Vay dài hạn ngân hàng (Thuyết minh số 14.3),944.919.102,948.088.238,944919102.0,948088238.0
Vay dài hạn bên liên quan (Thuyết minh số 14.4),Vay dài hạn bên liên quan (Thuyết minh số 14.4),Vay dài hạn bên liên quan (Thuyết minh số 14.4),1.030.376.353,452.870.953,1030376353.0,452870953.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.081.940.455,3.658.787.191,4081940455.0,3658787191.0
Tỉnh hình tăng giảm các khoản vay như sau:,Tỉnh hình tăng giảm các khoản vay như sau:,Tỉnh hình tăng giảm các khoản vay như sau:,Tỉnh hình tăng giảm các khoản vay như sau:,Tỉnh hình tăng giảm các khoản vay như sau:,,
,,,Vay ngắn hạn,Ngàn VNDVay dài hạn,,
Ngày 31 tháng 12 năm 2014,Tỉnh hình tăng giảm các khoản vay như sau: > Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,2.257.828.000,1.400.959.191,2257828000.0,1400959191.0
Tiền thu từ đi vay,Tỉnh hình tăng giảm các khoản vay như sau: > Tiền thu từ đi vay,Tiền thu từ đi vay,-,2.150.000.000,,2150000000.0
Kết chuyển vay dài hạn đến hạn trả,Tỉnh hình tăng giảm các khoản vay như sau: > Kết chuyển vay dài hạn đến hạn trả,Kết chuyển vay dài hạn đến hạn trả,(145.624.739),145.624.739,-145624739.0,145624739.0
Tiền chỉ trả nợ gốc vay,Tỉnh hình tăng giảm các khoản vay như sau: > Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,(1.707.604.000),(55.700.000),-1707604000.0,-55700000.0
Chênh lệch tỷ giá hồi đoái do đánh giá lại số dư cuối nằm có gốc ngoại tệ,Tỉnh hình tăng giảm các khoản vay như sau: > Chênh lệch tỷ giá hồi đoái do đánh giá lại số dư cuối nằm có gốc ngoại tệ,Chênh lệch tỷ giá hồi đoái do đánh giá lại số dư cuối nằm có gốc ngoại tệ,2.045.739,34.411.525,2045739.0,34411525.0
Ngày 31 tháng 12 năm 2015,Tỉnh hình tăng giảm các khoản vay như sau: > Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,406.645.000,3.675.295.455,406645000.0,3675295455.0
