row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Ngày 31 tháng 12năm 2014(trình bày lại –Thuyết minh số 21),numeric__Ngày 31 tháng 12năm 2015,numeric__Ngày 31 tháng 12năm 2014(trình bày lại –Thuyết minh số 21)
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,1.204.902.148,862.453.324,1204902148.0,862453324.0
Phải thu cổ tức,Phải thu cổ tức,Phải thu cổ tức,27.656.400,30.020.475,27656400.0,30020475.0
Thanh toán hộ,Thanh toán hộ,Thanh toán hộ,24.815.654,-,24815654.0,
Tạm ứng nhân viên,Tạm ứng nhân viên,Tạm ứng nhân viên,1.011.029,147.758,1011029.0,147758.0
Khác,Khác,Khác,2.644.966,7.207.440,2644966.0,7207440.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.261.030.197,899.828.997,1261030197.0,899828997.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ bên liên quan(Thuyết minh số 19),Trong đó: > Phải thu khác từ bên liên quan(Thuyết minh số 19),Phải thu khác từ bên liên quan(Thuyết minh số 19),1.259.743.045,897.618.844,1259743045.0,897618844.0
Phải thu từ bên khác,Trong đó: > Phải thu từ bên khác,Phải thu từ bên khác,1.287.152,2.210.153,1287152.0,2210153.0
