row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Ngày 31 tháng12 năm 2015,Ngàn VNDNgày 31 tháng12 năm 2014(dã điều chỉnh lại – Thuyết minh số 21),numeric__Mối quan hệ,numeric__Giao dịch,numeric__Ngày 31 tháng12 năm 2015,numeric__Ngàn VNDNgày 31 tháng12 năm 2014(dã điều chỉnh lại – Thuyết minh số 21)
Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (*) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Cho vay,1.069.417.133,1.124.143.246,,,1069417133.0,1124143246.0
Công ty TNHH Hoàng Anh Oyadav,Phải thu về cho vay dài hạn (*) > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Cho vay,633.329.591,612.444.606,,,633329591.0,612444606.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu về cho vay dài hạn (*) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Cho vay,385.280.762,581.064.043,,,385280762.0,581064043.0
Công ty TNHH Hoàng Anh Rattanakiri,Phải thu về cho vay dài hạn (*) > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Cho vay,320.151.353,456.945.954,,,320151353.0,456945954.0
Công ty Cổ phần Mía đường Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (*) > Công ty Cổ phần Mía đường Hoàng Anh Attapeu,Công ty Cổ phần Mía đường Hoàng Anh Attapeu,Công ty con,Cho vay,233.000.000,235.611.130,,,233000000.0,235611130.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu về cho vay dài hạn (*) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Bên liên quan,Cho vay,62.142.038,185.500.617,,,62142038.0,185500617.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu về cho vay dài hạn (*) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Cho vay,-,147.874.210,,,,147874210.0
,,,,,2.703.320.877,3.343.583.806,,,2703320877.0,3343583806.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Mua vật tưMua tài sảncó định,27.335,27.951,,,27335.0,27951.0
Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Mua vật tưMua tài sảncó định,-,48.671.743,,,,48671743.0
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,Mua vật tư,23.424,145.403,,,23424.0,145403.0
Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn > Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Bên liên quan,Mua vật tư,4.323,-,,,4323.0,
,,,,,55.082,48.845.097,,,55082.0,48845097.0
