row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Cho vay,Thu hồi gốc vay,Lãi vay phải thu,Lãi vay đã thu,Đơn vị tính: VNDCổ tức đã trả,numeric__Mối quan hệ,numeric__Cho vay,numeric__Thu hồi gốc vay,numeric__Lãi vay phải thu,numeric__Lãi vay đã thu,numeric__Đơn vị tính: VNDCổ tức đã trả
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,-,-,346.384.883.779,(345.430.800.000),-,,,,346384883779.0,-345430800000.0,
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,4.632.344.168.195,(1.253.292.040.431),463.064.685.720,(427.661.663.480),-,,4632344168195.0,-1253292040431.0,463064685720.0,-427661663480.0,
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,904.727.321.576,(268.000.000.000),242.799.986.633,(397.950.423.025),-,,904727321576.0,-268000000000.0,242799986633.0,-397950423025.0,
Công ty An Phong,Công ty An Phong,Công ty An Phong,Công ty con,396.300.000.000,(301.000.000.000),21.130.858.608,(20.320.076.380),-,,396300000000.0,-301000000000.0,21130858608.0,-20320076380.0,
Warburg Pincus,Warburg Pincus,Warburg Pincus,Cổ đông,-,-,-,-,602.776.400.000,,,,,,602776400000.0
Credit Suisse,Credit Suisse,Credit Suisse,Cổ đông,-,-,-,-,200.925.100.000,,,,,,200925100000.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Cho vay,Thu hồi gốc vay,Lãi vay phải thu,Lãi vay đã thu,Đơn vị tính: VNDCổ tức đã trả,,,,,,
Tập đoàn Vingroup - Công ty CP,Bên liên quan > Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,38.000.000.000,(932.987.500.000),419.775.178.319,(369.602.951.137),-,,38000000000.0,-932987500000.0,419775178319.0,-369602951137.0,
Công ty BĐS Viettronics,Bên liên quan > Công ty BĐS Viettronics,Công ty BĐS Viettronics,Công ty con,225.000.000.000,(2.528.130.705.432),-,-,-,,225000000000.0,-2528130705432.0,,,
"Công ty TNHH MTV Đầu tư và phát triển Bất đông sản Hải Phòng (""Công ty BĐS Hải Phòng"")","Bên liên quan > Công ty TNHH MTV Đầu tư và phát triển Bất đông sản Hải Phòng (""Công ty BĐS Hải Phòng"")","Công ty TNHH MTV Đầu tư và phát triển Bất đông sản Hải Phòng (""Công ty BĐS Hải Phòng"")",Công ty con,-,(238.461.370.057),7.213.456.444,(9.491.237.054),-,,,-238461370057.0,7213456444.0,-9491237054.0,
Công ty Vincom Center Hạ Long,Bên liên quan > Công ty Vincom Center Hạ Long,Công ty Vincom Center Hạ Long,Công ty con,137.000.000.000,(378.662.101.944),-,-,-,,137000000000.0,-378662101944.0,,,
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty trong cùng Tập đoàn,-,(210.000.000.000),6.900.833.333,(9.759.166.666),-,,,-210000000000.0,6900833333.0,-9759166666.0,
Warburg P ncus,Bên liên quan > Warburg P ncus,Warburg P ncus,Cổ đông,-,-,-,-,409.978.240.000,,,,,,409978240000.0
Credit Suisse,Bên liên quan > Credit Suisse,Credit Suisse,Cổ đông,-,-,-,-,136.659.410.000,,,,,,136659410000.0
