row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 29),Ngắn hạn: > Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 29),Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 29),22.367.438.971,24.055.317.433,22367438971.0,24055317433.0
Chi phí đầu tư các dự án,Ngắn hạn: > Chi phí đầu tư các dự án,Chi phí đầu tư các dự án,17.649.087.093,34.687.295.893,17649087093.0,34687295893.0
Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,Ngắn hạn: > Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,3.381.993.869,63.207.073.295,3381993869.0,63207073295.0
Thuế thu nhập doanh nghiệp tạm tính,Ngắn hạn: > Thuế thu nhập doanh nghiệp tạm tính,Thuế thu nhập doanh nghiệp tạm tính,1.268.539.178,12.754.761.298,1268539178.0,12754761298.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,6.438.870.544,5.225.834.864,6438870544.0,5225834864.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,51.105.929.655,139.930.282.783,51105929655.0,139930282783.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Tiền thuê đất trả trước,Dài hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,14.998.010.000,17.878.010.000,14998010000.0,17878010000.0
"Chi phí công cụ, dụng cụ","Dài hạn: > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",3.175.139.402,5.828.233.427,3175139402.0,5828233427.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,3.897.872.765,17.091.590.295,3897872765.0,17091590295.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,22.071.022.167,40.797.833.722,22071022167.0,40797833722.0
