row_label_raw,row_label_full,Bên liên quan > Công ty Vincom Retail Miền Bắc,Mối quan hệ > Công ty con,Số cuối năm VND > 450.000.000.000,Lãi suất %/năm > 7%,Ngày đáo hạn > Tháng 4 năm 2016,numeric__Mối quan hệ > Công ty con,numeric__Số cuối năm VND > 450.000.000.000,numeric__Lãi suất %/năm > 7%,numeric__Ngày đáo hạn > Tháng 4 năm 2016
Công ty Riverview Đà Nẵng,Công ty Riverview Đà Nẵng,Công ty Riverview Đà Nẵng,Công ty con(trước thời điểm sáp nhập),,,,,,,
,,,,50.000.000.000,11%,Tháng 11 năm 2016,,50000000000.0,0.11,
Công ty Ngôi Sao Xanh,Công ty Riverview Đà Nẵng > Công ty Ngôi Sao Xanh,Công ty Ngôi Sao Xanh,Công ty con,384.000.000.000,11%,Tháng 12 năm 2016,,384000000000.0,0.11,
Công ty An Phong,Công ty Riverview Đà Nẵng > Công ty An Phong,Công ty An Phong,Công ty con,60.000.000.000,11%,Tháng 12 năm 2016,,60000000000.0,0.11,
,,,,944.000.000.000,,,,944000000000.0,,
