row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính:VND Số đầu năm(Phân loại lại),numeric__Số cuối năm,numeric__Đơn vị tính:VND Số đầu năm(Phân loại lại)
Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,333.615.234.719,22.517.893.320,333615234719.0,22517893320.0
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,126.428.539.347,141.142.075.633,126428539347.0,141142075633.0
Phải thu từ cung cấp dịch vụ quản lý,Phải thu từ cung cấp dịch vụ quản lý,Phải thu từ cung cấp dịch vụ quản lý,43.434.790.573,62.648.772.298,43434790573.0,62648772298.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,16.304.022.793,9.905.550.649,16304022793.0,9905550649.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,519.782.587.432,236.214.291.900,519782587432.0,236214291900.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng,Trong đó: > Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,466.682.733.670,181.395.663.579,466682733670.0,181395663579.0
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 29),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 29),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 29),53.099.853.762,54.818.628.321,53099853762.0,54818628321.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,,
Phải thu chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Phải thu chuyển nhượng bất động sản từ một đối tác doanh nghiệp,121.657.981.787,121.657.981.787,121657981787.0,121657981787.0
Phải thu chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp,Phải thu chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp,331.000.000.000,-,331000000000.0,
