row_label_raw,row_label_full,Vay chuyển đổi từ các cổ đông (i) (Thuyết minh số 29) > Vay từ công ty mẹ (Thuyết minh số 29),Số đầu năm > Giá trị > 449.000.000.000 > 8.908.541.666.667,Số đầu năm > Số có khả năng trả nợ > 449.000.000.000 > 8.908.541.666.667,Số phát sinh trong năm > Tăng > 6.800.000.000 > 213.170.400.000,Số phát sinh trong năm > Giảm > - > (8.058.541.666.667),Đơn vị tính: VND > Số cuối năm > 455.800.000.000 > 1.063.170.400.000,Đơn vị tính: VND > Số cuối năm > 455.800.000.000 > 1.063.170.400.000_1,numeric__Số đầu năm > Giá trị > 449.000.000.000 > 8.908.541.666.667,numeric__Số đầu năm > Số có khả năng trả nợ > 449.000.000.000 > 8.908.541.666.667,numeric__Số phát sinh trong năm > Tăng > 6.800.000.000 > 213.170.400.000,numeric__Số phát sinh trong năm > Giảm > - > (8.058.541.666.667),numeric__Đơn vị tính: VND > Số cuối năm > 455.800.000.000 > 1.063.170.400.000,numeric__Đơn vị tính: VND > Số cuối năm > 455.800.000.000 > 1.063.170.400.000_1
Trái phiếu doanh nghiệp (ii),Trái phiếu doanh nghiệp (ii),Trái phiếu doanh nghiệp (ii),2.788.041.666.666,2.788.041.666.666,4.783.333.332,-,2.792.824.999.998,2.792.824.999.998,2788041666666.0,2788041666666.0,4783333332.0,,2792824999998.0,2792824999998.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.145.583.333.333,12.145.583.333.333,224.753.733.332,(8.058.541.666.667),4.311.795.399.998,4.311.795.399.998,12145583333333.0,12145583333333.0,224753733332.0,-8058541666667.0,4311795399998.0,4311795399998.0
