row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm(Phân loại lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm(Phân loại lại)
Phải thu khoản đặt cọc từ hợp đồng hợp tác đầu tư (*),Phải thu khoản đặt cọc từ hợp đồng hợp tác đầu tư (*),Phải thu khoản đặt cọc từ hợp đồng hợp tác đầu tư (*),1.500.000.000.000,-,1500000000000.0,
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và phải thu từ cho vay","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và phải thu từ cho vay","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và phải thu từ cho vay",642.724.126.454,629.188.521.849,642724126454.0,629188521849.0
Phải thu các khoản chỉ hộ,Phải thu các khoản chỉ hộ,Phải thu các khoản chỉ hộ,89.643.914.170,199.890.835.989,89643914170.0,199890835989.0
Phải thu khoản đặt cọc mua cổ phần,Phải thu khoản đặt cọc mua cổ phần,Phải thu khoản đặt cọc mua cổ phần,79.677.103.485,94.697.103.485,79677103485.0,94697103485.0
Phải thu lại tiền đã chuyển để góp vốn vào công ty con do không còn kế hoạch tăng vốn,Phải thu lại tiền đã chuyển để góp vốn vào công ty con do không còn kế hoạch tăng vốn,Phải thu lại tiền đã chuyển để góp vốn vào công ty con do không còn kế hoạch tăng vốn,-,107.720.000.000,,107720000000.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,4.671.482.605,33.875.019.318,4671482605.0,33875019318.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.316.716.626.714,1.065.371.480.641,2316716626714.0,1065371480641.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,1.937.405.816.735,393.310.091.428,1937405816735.0,393310091428.0
Phải thu khác từ các bên liên quan(Thuyết minh số 29),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 29),Phải thu khác từ các bên liên quan(Thuyết minh số 29),379.310.809.979,672.061.389.213,379310809979.0,672061389213.0
Dự phòng phải thu ngắn hạn khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(22.000.000.000),-,-22000000000.0,
