row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 6),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 6),Nội dung > Phải thu ngắn hạn khác(Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 6),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 6),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 6),numeric__Nội dung > Phải thu ngắn hạn khác(Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 6),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 6)
Tập đoàn Vingroup- Công ty CP,Tập đoàn Vingroup- Công ty CP,Tập đoàn Vingroup- Công ty CP,Công ty mẹ,Lãi vay phải thuChi hộ phải thuPhải thu quản lýdòng tiền tập trung,165.088.986.5221.162.024.3716.000.000,150.455.176.487207.940.5927.220.406.871,,,1.650889865221162e+28,1.5045517648720795e+30
Công ty VincomRetail Miền Bắc,Công ty VincomRetail Miền Bắc,Công ty VincomRetail Miền Bắc,Công ty con,Lãi vay phải thuChi hộ phải thu,24.211.758.0608.099.857.901,179.362.194.4526.272.133.385,,,2.4211758060809984e+20,1.7936219445262722e+21
Công ty Suối Hoa,Công ty Suối Hoa,Công ty Suối Hoa,Công ty con,Lãi vay phải thuPhải thu khác,8.535.022.222-,-107.720.000.000,,,,-107720000000.0
Công ty Metropolis,Công ty Metropolis,Công ty Metropolis,Công ty con(trước thời điểm chuyển nhượng),Lãi vay phải thuChi hộ phải thu,-,6.870.613.581,,,,6870613581.0
Công ty VincomRetail Miền Nam,Công ty VincomRetail Miền Nam,Công ty VincomRetail Miền Nam,Công ty con,Lãi vay phải thuChi hộ phải thu,49.046.779.2521.810.649.140,13.643.757.0123.272.020.793,,,4.904677925218107e+20,1.3643757012327203e+20
Công ty Starbowl,Công ty Starbowl,Công ty Starbowl,Công ty con(trước thời điểm sáp nhập),Chỉ hộ phải thu,-,37.928.104.600,,,,37928104600.0
Công ty Xây dựngVincom 1,Công ty Xây dựngVincom 1,Công ty Xây dựngVincom 1,Công ty trongcùng Tập đoàn,Lãi tiền tạm ứngphải thuChi hộ phải thu,106.652.089.261-,95.421.772.9852.342.278.158,,,,9.542177298523423e+20
Các bên liên quankhác,Các bên liên quankhác,Các bên liên quankhác,,Phải thu khác,14.697.643.250,14.690.469.775,,,14697643250.0,14690469775.0
,,,,,379.310.809.979,672.061.389.213,,,379310809979.0,672061389213.0
Chi phí trả trước ngắn hạn(Thuyết minh số 9),Chi phí trả trước ngắn hạn(Thuyết minh số 9),Chi phí trả trước ngắn hạn(Thuyết minh số 9),Chi phí trả trước ngắn hạn(Thuyết minh số 9),Chi phí trả trước ngắn hạn(Thuyết minh số 9),Chi phí trả trước ngắn hạn(Thuyết minh số 9),Chi phí trả trước ngắn hạn(Thuyết minh số 9),,,,
Credit Suisse,Chi phí trả trước ngắn hạn(Thuyết minh số 9) > Credit Suisse,Credit Suisse,Cổ đông,Lãi vay trả trước,5.591.859.743,6.013.829.358,,,5591859743.0,6013829358.0
Warburg Pincus,Chi phí trả trước ngắn hạn(Thuyết minh số 9) > Warburg Pincus,Warburg Pincus,Cổ đông,Lãi vay trả trước,16.775.579.228,18.041.488.075,,,16775579228.0,18041488075.0
,,,,,22.367.438.971,24.055.317.433,,,22367438971.0,24055317433.0
Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10),Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10),Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10),Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10),Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10),Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10),Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10),,,,
Tập đoàn Vingroup- Công ty CP,Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10) > Tập đoàn Vingroup- Công ty CP,Tập đoàn Vingroup- Công ty CP,Công ty mẹ,Đặt cọc hợp tácđầu tư,-,810.514.542.712,,,,810514542712.0
Credit Suisse,Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10) > Credit Suisse,Credit Suisse,Cổ đông,Tạm ứng cổ tức,-,68.873.894.783,,,,68873894783.0
Warburg Pincus,Tài sản ngắn hạn và dài hạn khác(Thuyết minh số 10) > Warburg Pincus,Warburg Pincus,Cổ đông,Tạm ứng cổ tức,-,206.621.684.350,,,,206621684350.0
,,,,,-,1.086.010.121.845,,,,1086010121845.0
