row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Đi vay,Đi vay đã trả,Lãi vay phải trả,Lãi vay đã trả/trả trước,Cổ tức phải thu,Đơn vị tính: VND,numeric__Mối quan hệ,numeric__Đi vay,numeric__Đi vay đã trả,numeric__Lãi vay phải trả,numeric__Lãi vay đã trả/trả trước,numeric__Cổ tức phải thu,numeric__Đơn vị tính: VND
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,,(213.170.400.000),8.058.541.666.667,(733.709.733.081),1.275.731.419.183,-,-,,-213170400000.0,8058541666667.0,-733709733081.0,1275731419183.0,,
Warburg Pincus,Warburg Pincus,Warburg Pincus,Cổ đông,-,-,(32.082.027.269),32.082.027.269,-,-,,,,-32082027269.0,32082027269.0,,
"Credit Suisse AG, Singapore Branch","Credit Suisse AG, Singapore Branch","Credit Suisse AG, Singapore Branch",Cổ đông,-,-,(10.694.009.090),10.694.009.090,-,-,,,,-10694009090.0,10694009090.0,,
Công ty Starbowl,Công ty Starbowl,Công ty Starbowl,Công ty con (trước đây),-,45.000.000.000,-,-,-,-,,,45000000000.0,,,,
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty liên kết,-,-,-,-,260.000.000.000,(260.000.000.000),,,,,,260000000000.0,-260000000000.0
Công ty Newcosc,Công ty Newcosc,Công ty Newcosc,Công ty con (trước đây),-,-,-,-,7.931.226.532,(7.931.226.533),,,,,,7931226532.0,-7931226533.0
Công ty Metropolis,Công ty Metropolis,Công ty Metropolis,Công ty con (trước thời điểm chuyển nhượng),-,-,-,-,42.014.096.528,(42.014.096.528),,,,,,42014096528.0,-42014096528.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015:,,,,,,,
Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Đi vay,Đi vay đã trả,Lãi vay phải trả,Lãi vay đã trả/trả trước,Cổ tức phải thu,Cổ tức đã thu,,,,,,,
Tập đoàn Vingroup - Công ty CP,Bên liên quan > Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,,(4.922.000.000.000),1.600.000.000.000,(761.910.715.712),336.205.520.892,-,-,,-4922000000000.0,1600000000000.0,-761910715712.0,336205520892.0,,
Công ty BĐS Viettronics,Bên liên quan > Công ty BĐS Viettronics,Công ty BĐS Viettronics,Công ty con,(258.000.000.000),258.000.000.000,(1.849.750.001),1.849.750.001,-,-,,-258000000000.0,258000000000.0,-1849750001.0,1849750001.0,,
Công ty TNHH Vincom Center Bà Triệu,Bên liên quan > Công ty TNHH Vincom Center Bà Triệu,Công ty TNHH Vincom Center Bà Triệu,Công ty con,(30.000.000.000),30.000.000.000,(1.608.249.999),1.608.249.999,-,(33.700.000.000),,-30000000000.0,30000000000.0,-1608249999.0,1608249999.0,,-33700000000.0
Công ty TNHH Vincom Mega Mall Times City,Bên liên quan > Công ty TNHH Vincom Mega Mall Times City,Công ty TNHH Vincom Mega Mall Times City,Công ty con,(90.000.000.000),90.000.000.000,(367.500.000),367.500.000,-,-,,-90000000000.0,90000000000.0,-367500000.0,367500000.0,,
Công ty BĐS Hải Phòng,Bên liên quan > Công ty BĐS Hải Phòng,Công ty BĐS Hải Phòng,Công ty con,(297.000.000.000),297.000.000.000,-,-,-,-,,-297000000000.0,297000000000.0,,,,
Warburg Pincus,Bên liên quan > Warburg Pincus,Warburg Pincus,Cổ đông,-,-,(28.638.750.000),28.638.750.000,-,-,,,,-28638750000.0,28638750000.0,,
